tableA_id,tableA_title,tableA_starring,tableA_writer,tableA_editor,tableB_id,tableB_title,tableB_actor name,tableB_director name,tableB_year,tableB_genre,label
6434,Calamity Jane,Harold Clifford Keel,James O'Hanlon,,5137,Calamity Jane (1953),"Morgan, Lee (I)","Butler, David (I)",1953,Comedy,1
22829,Universal Soldier,George Robert Lazenby,,,292,What Happened Today...? (2004) (V),"Lynn, Jennifer (II)","Usher, Nick",2004,Short,0
16271,Kismet,Shah Nawaz,,,9839,Kismet (1943),"Roy, Kanu","Mukherjee, Gyan",1943,Drama,1
22369,A Dangerous Foe,Charles Hill Mailes,Edward Acker,,10791,Jingi naki tatakai (1973),"Kimura, Toshie","Fukasaku, Kinji",1973,Drama,0
16493,Novocaine,Helena Bonham Carter,David Atkins (film director),,8007,Novocaine (2001),"Bajenski, Len","Atkins, David (III)",2001,Comedy,1
7221,,Evelyn Ankers,"Harrison Carter, Henry Sucher",,17909,"Cider House Rules, The (1999)","Flynn, Jimmy (I)","Hallstr?m, Lasse",1999,Drama,0
20250,,Nicolas Surovy,Richard Lupoff,,1834,12:01 (1993) (TV),"Emerson, Jonathan","Sholder, Jack",1993,Comedy,1
2031,,Monty Ross,Shelton Jackson Lee,,13915,Johnny English (2003),"Moore, Kevin (I)","Howitt, Peter (II)",2003,Comedy,0
8273,,Irene Marie Dunn,Mary McCarthy (screenwriter),,20798,Theodora Goes Wild (1936),"Hayle, Grace","Boleslawski, Richard",1936,Comedy,1
15971,Viva Knievel!,Marjoe Gortner,Norman Katkov,,472,Viva Knievel! (1977),"Olson, Eric (II)","Douglas, Gordon",1977,Comedy,1
3874,Funny Games,Friedrich Hans Ulrich Mu00FChe,Michael Haneke,,20277,Funny Games (1997),"Lothar, Susanne","Haneke, Michael",1997,Horror,1
9559,,Marvel Marilyn Maxwell,Frank Tashlin,,16248,I Am Not What You Want (2001),"Hung, Lik Hang","Hung, Wing Kit",2001,Drama,0
20594,,,Jim McKay,,15297,Everyday People (2004),"Smit, Cate","McKay, Jim (I)",2004,Drama,1
19584,The Saint's Vacation,Hugh Sinclair (actor),Getaway (The Saint),,12427,"Saint's Vacation, The (1941)","McLeod, Gordon (I)","Fenton, Leslie",1941,Drama,1
11098,The Kid & I,Linda Carroll Hamilton,Thomas Duane Arnold,,11484,"Kid & I, The (2005)","Mantegna, Joe","Spheeris, Penelope",2005,Comedy,1
3737,The Big Bad Swim,Paget Brewster,Daniel Schechter,,10309,"Neon Bible, The (1995)","Blackwood, Sharon","Davies, Terence",1995,Drama,0
2604,,David Lodge (actor),John Warren,,6982,Two Way Stretch (1960),"Mitchell, Warren (I)","Day, Robert (I)",1960,Comedy,1
9317,Convicts 4,Stuart Whitman,Millard Kaufman John Resko,,7187,Closer (2004/I),"Yount, Bret","Nichols, Mike (I)",2004,Drama,0
13166,,Mercedes J. Ruehl,Abby Mann Myra Mann,,8857,Indictment: The McMartin Trial (1995) (TV),"Knight, Shirley (I)","Jackson, Mick (I)",1995,Thriller,1
11115,Jazz and Jailbirds,Oliver Hardy,J.A. Howe,,130,"Chance of a Lifetime, The (1943)","Arnold, Jessie","Castle, William",1943,Drama,0
