tableA_id,tableB_id
110,53087
147,50730
205,41179
249,53087
251,53047
251,52967
254,49104
416,33321
426,33282
431,33296
433,33307
467,362
498,29283
508,55899
537,1878
582,378
588,55899
592,43689
598,43689
642,24635
668,24621
836,23706
1069,11277
1148,7757
1151,53282
1161,27990
1164,27994
1193,28008
1216,33988
1358,42278
1406,48287
1413,51590
1489,3898
1514,49668
1595,52925
1636,27530
1655,49479
1683,23781
1683,23727
1735,10926
1736,10938
1776,33397
1777,20232
1897,51626
1918,9358
1946,23456
2222,815
2337,54230
2368,33786
2375,3581
2394,29834
2399,29849
2456,24297
2479,33786
2490,4511
2666,35475
2742,17181
2749,17161
2782,31534
2812,47863
2834,53255
2845,52867
2901,21458
2913,21458
3093,22994
3104,22995
3292,7440
3324,7403
3354,17643
3354,17660
3356,39335
3358,39320
3376,7414
3421,34320
3503,54798
3507,23084
3734,47848
3762,38431
3771,38442
3850,9120
3864,8306
3870,23889
3870,23901
3878,23925
3887,16397
3926,16397
3944,18970
4301,29695
4312,6130
4326,23361
4384,23361
4413,42103
4468,31072
4547,26140
4587,26140
4610,26152
4659,41090
4669,41083
4747,5682
4823,20588
5001,3099
5077,40465
5083,40471
5122,34113
5143,43647
5227,27254
5363,47909
5406,27824
5518,9828
5542,10251
5702,37654
5712,35057
5726,4470
5733,4465
5761,21517
5806,6499
5827,6502
5885,19151
6047,4667
6104,7981
6218,29583
6234,13713
6280,47818
6425,31102
6429,31088
6458,18807
6532,38301
6592,38375
6634,824
6724,17069
6764,51438
6857,39318
