tableA_id,tableA_Song_Name,tableA_Artist_Name,tableA_Album_Name,tableA_Genre,tableA_Price,tableA_CopyRight,tableA_Time,tableA_Released,tableB_id,tableB_Song_Name,tableB_Artist_Name,tableB_Album_Name,tableB_Genre,tableB_Price,tableB_CopyRight,tableB_Time,tableB_Released,label
3397,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,44647,2001 [ Explicit ],Snoop Doggy Dogg,Tha Doggfather [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop , West Coast",$ 0.99,Death Row,3:37,"April 24 , 2001",0
2555,Greenlight ( Bonus Track ),5 Seconds of Summer,5 Seconds of Summer ( Bonus Track Version ),"Pop , Music , Teen Pop , Alternative , Punk , Rock",$ 1.29,2014 Capitol Records Ltd.,2:45,22-Jul-14,30849,Taboo,Don Omar,Meet The Orphans,"International , Latin Music , Latin Hip-Hop",$ 1.29,( C ) 2010 Machete Music,4:52,"November 16 , 2010",0
261,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,54490,Saving All My Love for You,Whitney Houston,Whitney The Greatest Hits,Pop,$ 1.29,2014 Chris Young,3:54,"August 1 , 2009",0
4505,TBC Video 2,One Direction,Made In the A.M. ( Deluxe Edition ),"Pop , Music",Pre-Order Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,53465,The Basix,Supraliminal,Volume 3 : Most Likely to Be Famous,"Rap & Hip-Hop , Miscellaneous , East Coast",$ 0.99,( C ) 2008 On Po1nt,6:15,"July 16 , 2008",0
2881,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited except Track 9 ( P ) 2006 Rapster Records / BBE Records,1:50,10-Jul-07,10721,My Girl,Honorebel,Club Scene,Pop,$ 1.29,"( C ) 2015 Musical Freedom Label Ltd under exclusive license to PM : AM Recordings , a division of Universal Music BV",3:39,"July 23 , 2013",0
4504,TBC Video 2,One Direction,Made In the A.M. ( Deluxe Edition ),"Pop , Music",Pre-Order Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,54220,There Goes My Life,Kenny Chesney,When The Sun Goes Down ( Deluxe Version ),Country,$ 1.29,2012 Pinecastle Records,5:04,"February 2 , 2004",0
6122,Ultraviolence,Lana Del Rey,Ultraviolence ( Deluxe ),"Alternative , Music , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:11,16-Jun-14,40468,Defeated No More [ feat . Edward Macfarlane ],Disclosure,Settle,"Electronica , Dance & Electronic",$ 1.29,"( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",6:07,"June 11 , 2013",0
6718,Lover Is Childlike,The Low Anthem,The Hunger Games ( Songs from District 12 and Beyond ),"Soundtrack , Music",$ 1.29,"‰ ãÑ 2012 Universal Republic Records , a division of UMG Recordings , Inc.",4:15,20-Mar-12,32485,See You When I See You,Jason Aldean,My Kinda Party,Country,$ 1.29,2006 Taxi,3:48,"November 2 , 2010",0
3507,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ] - Single","Dance , Music",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:19,10-Jul-15,23084,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Dance & Electronic,$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:27,"June 23 , 2015",1
3981,X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15,15696,It 's Diff ` rent Now ( Unfinished Recording ),Elvis Presley,Elvis At Stax,Pop,$ 0.99,"( C ) 1990 Universal Records , a Division of UMG Recordings , Inc.",2:22,"August 2 , 2013",0
