tableA_id,tableB_id
61,2710
120,213
190,805
271,1410
294,1586
386,2204
418,2441
480,2576
563,1177
781,2835
862,2906
890,2580
982,2999
1004,20
1030,43
1042,55
1157,155
1394,358
1456,409
1460,412
1474,427
1522,467
1621,548
1648,571
1672,590
1748,652
1780,685
1842,737
1850,742
1914,793
1931,810
2007,203
2163,985
2175,996
2242,1048
2289,1085
2362,1136
2463,1206
2491,1230
2506,1242
2558,1284
2606,1320
2689,1373
2700,1380
2722,1393
2764,1423
2867,1493
2909,1529
2992,1590
3035,1620
3073,1647
3079,1650
3210,1737
3381,1859
3468,1921
3622,2020
3758,2120
3800,2146
3802,2149
3917,2224
4003,2284
4063,2331
4088,2351
4101,2360
4157,2405
4161,2409
4237,2466
4286,2362
