tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
3322,Coyote Spirit,Feather Falls Casino Brewing Company,American Amber / Red Ale,-,779,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,KlÃ ¡ _ ternÃ Pivovar Strahov,Smoked,6.30 %,0
464,Patrick 's Poison,Rivertowne Brewing,American Amber / Red Ale,8.00 %,827,Metropolitan Shezmu Red Lager,Metropolitan Brewing,Amber Lager/Vienna,5.50 %,0
182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20 %,1116,Cellarmaker Schwag,Cellarmaker Brewing Company,Brown Ale,5 %,0
4097,Broad Street Barley Wine,Appalachian Brewing Company,American Barleywine,8.70 %,831,Wolf Hollow Amber,Wolf Hollow Brewing Company,Amber Ale,5 %,0
3697,Sugar N ' Spice,House of Beer - Citrus Park,American Amber / Red Ale,5.90 %,1104,Blackstone Red Trail Ale,Blackstone Restaurant & Brewery,Amber Ale,4.60 %,0
3546,R.E.D.,Union Station Brewery,American Amber / Red Ale,8.00 %,872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,0
966,Red Reuben,Bison Brewing,American Amber / Red Ale,7.00 %,2009,1st Republic Windsor Ale,1st Republic Brewing Company,Amber Ale,4.80 %,0
704,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,2258,Arkose High Ridge Double Red,Arkose Brewery,American Strong Ale,6.80 %,0
291,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40 %,666,Angelic Shakedown Brown,Angelic Brewing Company,Brown Ale,-,0
1243,Irreverent,Warped Wing Brewing Company,American Amber / Red Ale,6.30 %,674,Marshall Wharf Little Max Red Ale,Marshall Wharf Brewing Company,Amber Ale,4.50 %,0
4111,He'Brew Jewbelation 18,Shmaltz Brewing Company,American Barleywine,12.40 %,2359,The Bruery Oaked Old Richland,The Bruery,Barley Wine,11.10 %,0
1990,Nautilus American Red,Dry Dock Brewing Co. .,American Amber / Red Ale,5.60 %,1325,Berthoud Switch Track Amber,Berthoud Brewing Company,Amber Ale,5.50 %,0
1442,River Rat Red,Riverport Brewing Company,American Amber / Red Ale,4.30 %,2978,Wicked Weed Decoy Red,Wicked Weed Brewing,Amber Ale,6 %,0
817,Riverside Red Ale,Intuition Ale Works,American Amber / Red Ale,7.00 %,1543,Fallbrook Secret Lake Amber Ale,Fallbrook Brewing Company,Amber Ale,5.60 %,0
