tableA_id,tableA_http://www.okkam.org/ontology_restaurant1.owl#name,tableA_http://www.okkam.org/ontology_restaurant1.owl#phone_number,tableA_http://www.okkam.org/ontology_restaurant1.owl#street,tableB_id,tableB_http://www.okkam.org/ontology_restaurant2.owl#name,tableB_http://www.okkam.org/ontology_restaurant2.owl#phone_number,tableB_http://www.okkam.org/ontology_restaurant2.owl#street,label
46,smith & wollensky,212/753-1530,,1400,joss,310/276-1886,,0
221,21 club,212/582-7200,,200,i trulli,212/481-7372,,0
66,,,22 hawthorne st.,2066,swan oyster depot,415-673-1101,,0
233,,,1972 n. hillhurst ave.,879,,,246 w. 4th st. at charles st.,0
215,heera of india,404/876-4408,,345,one market,415/777-5577,,0
305,ritz-carlton restaurant and dining room,415/296-7465,,2043,,,607 front st.,0
46,smith & wollensky,212/753-1530,,955,,,4th and howard sts.,0
143,la caravelle,212/586-4252,,429,diva,212/941-9024,,0
2,fenix,213/848-6677,,346,,,149 e. 57th st.,0
81,jo jo,212/223-5656,,395,corner bistro,212-242-9502,,0
301,buckhead diner,404/262-3336,,922,,,134 n. la cienega,0
43,toulouse,404/351-9533,,1632,,,1737 post st.,0
19,san francisco,,,1851,match,212/906-9173,,0
239,,,624 s. la brea ave.,2009,heera of india,404-876-4408,,0
144,,,129 n. la cienega blvd.,64,,,764 ninth ave.,0
334,,,11 e. 53rd st.,183,,,219 w. broadway  between franklin and white sts.,0
255,,,99 e. 52nd st.,1790,holt bros. bar-b-q,770/242-3984,,0
165,,,160 e. 64th st.,335,,,1582 folsom st.,0
219,picholine,212/724-8585,,1466,penang soho,212/274-8883,,0
202,,,9001 santa monica blvd.,1390,drai's,310/358-8585,,0
128,,,5937 geary blvd.,617,roscoe's house of chicken 'n' waffles,213/466-9329,,0
71,cafe lalo,212/496-6031,,1190,center stage plaza hotel,702/386-2512,,0
84,,,2637 peachtree rd.  peachtree house condominium,963,katia's,415/668-9292,,0
306,mi cocina,212/627-8273,,1625,,,210 e. 46th st.,0
336,locanda veneta,310/274-1893,,1358,,,14016 ventura blvd.,0
77,coyote cafe,702/891-7349,,527,petrossian,212-245-2214,,0
138,le montrachet,702/732-5111,,2092,,,222 e. 58th st.  between 2nd and 3rd aves.,0
130,san domenico,212/265-5959,,949,cafe adriano,415/474-4180,,0
128,,,5937 geary blvd.,977,white house restaurant,404-237-7601,,0
311,,,252 california st.,1700,,,13 1st ave.  near 1st st.,0
326,,,1001 n. alameda st.,1120,cafe flore,415-621-8579,,0
232,gotham bar & grill,212/620-4020,,732,,,423 columbus ave.,0
154,restaurant katsu,213/665-1891,,395,corner bistro,212-242-9502,,0
44,studio city,,,2169,,,21 w. 52nd st.,0
78,,,2 e. 55th st.,1687,sofia fabulous pizza,212/734-2676,,0
229,union square cafe,212/243-4020,,1351,caffe bondi ristorante,212/691-8136,,0
265,khan toke thai house,415/668-6654,,1364,ferrier,212/772-9000,,0
8,aureole,212/ 319-1660,,1208,caffe reggio,212/475-9557,,0
71,cafe lalo,212/496-6031,,281,mangia e bevi,212/956-3976,,0
286,boulevard,415/543-6084,,1976,riviera,404-262-7112,,0
96,,,3201 fillmore st.,1829,,,633 3rd ave. at 40th st.,0
242,mesa grill,212/807-7400,,2190,cucina della fontana,212-242-0636,,0
322,daniel,212/288-0033,,2005,,,205 e. 45th st.,0
128,,,5937 geary blvd.,1564,yama,212-475-0969,,0
208,le bernardin,212/489-1515,,93,french (new),,,0
