tableA_id,tableB_id
942,949
599,545
710,746
244,328
35,199
728,92
686,837
126,29
1050,332
632,565
602,1020
305,398
460,575
675,834
33,198
572,658
562,764
570,649
944,954
876,931
181,134
941,1018
402,400
493,529
993,105
356,861
1052,1074
623,586
365,273
695,744
639,381
0,53
262,216
310,401
318,712
795,821
245,215
378,533
512,550
382,571
772,797
411,645
265,364
674,983
663,255
836,855
938,566
631,864
349,1046
585,451
122,137
423,749
68,222
805,470
488,494
527,738
256,300
617,697
948,993
259,220
727,659
36,228
568,666
630,568
509,665
914,1004
1006,1091
844,818
961,964
975,976
48,63
1053,357
53,126
1001,1058
410,645
875,1061
550,594
476,631
161,237
851,816
328,299
498,556
765,1047
567,657
546,759
123,372
41,811
797,259
369,464
985,607
443,581
231,253
856,942
372,174
200,133
189,267
45,1085
757,611
625,761
924,959
881,1077
918,1011
892,1063
800,67
453,505
964,934
862,854
55,225
392,304
1055,1087
412,452
79,149
223,361
825,905
241,414
1016,969
224,142
768,614
317,306
114,124
1005,1053
678,685
1034,463
264,116
814,702
288,341
654,683
156,190
160,4
661,669
1056,307
18,211
436,740
1028,0
860,857
919,1008
403,104
827,5
213,327
1049,244
117,144
1032,497
280,302
131,175
759,912
852,827
507,610
32,50
952,856
538,483
571,743
91,86
987,992
901,960
1011,724
835,951
495,629
491,662
626,471
322,156
642,234
485,551
517,405
960,963
121,371
409,96
1039,939
250,335
788,627
764,641
915,1005
722,801
281,280
221,252
145,177
859,1025
539,644
449,754
358,165
526,468
130,203
408,462
504,559
448,908
689,785
840,820
794,817
195,283
215,373
761,531
907,947
212,325
608,686
152,176
368,467
541,725
745,747
909,973
868,936
197,243
955,913
191,138
111,355
76,112
666,731
720,799
255,871
865,937
108,123
1062,986
929,977
1040,186
1071,103
135,145
968,359
216,374
553,598
214,3
974,1080
277,520
351,205
439,579
904,932
447,412
721,894
738,835
1036,1055
685,732
308,346
125,129
829,920
760,469
1079,22
109,99
786,311
261,336
1007,251
815,704
959,927
672,909
611,695
1018,485
781,748
957,958
894,923
21,196
395,188
47,79
857,1012
201,279
483,793
762,69
31,643
679,720
309,956
597,833
564,982
528,709
251,415
879,1076
390,393
683,893
194,81
913,1002
233,291
29,43
384,438
1078,382
220,314
890,540
424,751
596,584
521,535
831,924
65,74
552,599
644,635
320,396
242,284
742,774
232,184
357,432
5,191
749,638
299,423
477,844
267,348
180,132
169,248
1025,8
776,1073
54,64
810,221
680,840
115,52
468,604
522,537
1023,484
134,9
57,106
1015,1081
338,329
316,796
123,78
614,637
867,1001
478,437
98,193
354,276
667,232
1000,619
770,625
502,553
583,660
634,525
780,480
238,368
34,36
559,878
93,97
381,465
497,881
701,865
574,582
137,238
59,16
936,681
363,409
26,201
393,434
861,858
931,1031
779,655
347,441
415,384
758,90
234,495
775,914
556,597
1048,735
209,481
166,829
237,14
610,721
16,223
147,141
651,884
170,160
446,907
164,73
85,155
1051,298
1075,569
121,128
996,1040
999,1075
23,491
605,523
711,789
598,528
501,561
619,863
456,510
1046,962
899,946
582,668
380,397
451,980
269,349
536,1048
506,343
737,889
649,714
897,944
273,363
72,76
863,503
724,737
44,194
587,229
192,264
612,616
219,285
323,339
297,424
398,420
492,296
235,218
193,263
319,476
148,246
211,320
937,929
813,1070
10,34
1042,852
81,257
1068,1090
798,152
882,910
295,171
78,80
543,758
470,674
970,682
555,411
1002,249
763,830
480,792
110,101
28,48
573,710
230,351
