tableA_id,tableA_name,tableA_description,tableA_price,tableB_id,tableB_name,tableB_description,tableB_price,label
563,Sony Silver 1080p Upscaling 5-Disc DVD Player - DVPNC800HS,Sony Silver 1080p Upscaling 5-Disc DVD Changer - DVPNC800HS/ 5 Disc DVD/CD Changer/ 1080p Upscaling Video Output Through HDMI Connection/ BRAVIA Sync/ High Resolution JPEG Output/ Precision Cinema Progressive Technology/ Precision Drive 3 System/ Child Lock/ Multi Disc Resume/ Multi Brand TV Remote Control/ Silver Finish,,586,Panasonic DMR-EA38VK DVD/VCR Combo,DVD+RW DVD-RW DVD-RAM DVD-R DVD+R CD-RW VHS Secure Digital (SD) Card - DVD Video CD-DA MP3 JPEG DivX SQPB MPEG-2 PCM Playback - Progressive Scan - 14.33Hour Recording,,0
126,Sony PlayStation 2 DUALSHOCK 2 Analog Controller - Emerald Finish - 711719706205,Sony PlayStation 2 DUALSHOCK 2 Analog Controller - 711719706205/ Analog Pressure Sensitivity On All Action Buttons/ Built-In DUALSHOCK Vibration Function/ Twin Analog Control Sticks/ Intelligent Self-Calibrating Analog System/ Emerald Finish,24.99,951,Nikon D90 Digital SLR Camera with AF-S DX Nikkor 18-105mm f/3.5-5.6G ED VR Lens - 25448,Nikon D90 12 Megapixel Digital SLR Camera w/ 3' LCD Live View 18-105mm Lens 4.5 fps Burst & In-Camera Image Editing,1159.88,0
394,Alpine CD-R/-RW/MP3/AAC/WMA Receiver - CDA9886,Alpine CD-R/-RW/MP3/AAC/WMA Receiver - CDA9886/ 18W RMS/50W MAX x 4/ BioLite High-Definition Display/ Blue Illumination/ 24-Bit DSP With Integrated DAC And 8x Oversampling/ Rotary Encoder Volume Control/ 3 Preouts (4 Volts)/ Bluetooth Ready With AV Profile/ Ai-NET Bus System,,5,LaCie Pocket Floppy Disk Drive - 706018,LaCie Pocket USB Floppy 1.44 MB,,0
823,Nikon D700 Digital SLR Digital Camera - D700BODY,Nikon D700 Digital SLR Digital Camera - D700BODY/ 12.1 Megapixels FX-Format CMOS Sensor/ Continuous Shooting Up To 5 Frames Per Second/ 3' Super-Density 920000-dot VGA Color Monitor/ Two Live View Shooting Modes/ Rugged Magnesium-Alloy Construction/ 51-Point AF With 3D Focus Tracking/ Dynamic Integrated Dust Reduction System/ 1005-Pixel 3D Color Matrix Metering II/ Scene Recognition System/ Black Finish/ Body Only,,939,Toshiba 42RV535U - 42' Widescreen 1080p LCD HDTV w/ Cinespeed - Piano Black,,789.98,0
358,Garmin Replacement USB Cable - 0101072301,Garmin Replacement USB Cable - 0101072301/ Link PC To The Car GPS System/ Transfer And Download Created Routes Maps From PC To GPS/ Black Finish,,7,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,Optical - USB PS/2,,0
264,Sirius External Home Antenna - 14240,Sirius External Home Antenna - 14240/ Adjustable Design/ Durable UV-Coated Weather Resistant Construction/ Included Is A 30 Cable And Complete Mounting Hardware/ Compatible With Single Input SIRIUS Home Tuners And Plug & Play Receivers,,475,LaCie USB 2.0 External Hard Drive - 301302U,LaCie 500GB USB 2.0 7200RPM Desktop External Hard Drive - Design by Neil Poulton,86.95,0
978,Toshiba 26' Black LCD HDTV - 26AV502U,Toshiba 26' Black LCD HDTV - 26AV502U/ 720p HD Resolutions/ DynaLight Dynamic Backlight Control/ Gaming Mode/ Built-In ATSC/NTSC/QAM Digital Tuning/ Color Temperature Control/ 2 HDMI Inputs/ PC Input/ Black Finish,,276,ABS48 Wood TV Stand (Avalon Series 48-in. Max),,,0
900,Olympus Stylus 1050 SW Black Digital Camera - STYLUS1050SWB,Olympus Stylus 1050 SW Black Digital Camera - STYLUS1050SWB/ 10.1 Megapixel/ Shockproof/ Waterproof Up To 10 Ft./ Freezeproof/ 3x Optical Zoom/ 2.7' LCD Display/ 41.6MB Internal Memory/ Tap Control Feature/ Face Detection/ 27 Shooting Modes/ Continuous Shooting/ High ISO Sensitivity/ In-Camera Panorama/ Movie Mode/ Black Finish,,0,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup),,0
568,Samsung 46' Series 6 LCD Black Flat Panel HDTV - LN46A650,Samsung 46' Series 6 LCD Black Flat Panel HDTV - LN46A650/ Full 1080p High Definition Resolution/ 16:9 Widescreen Aspect Ratio/ 50000:1 Dynamic Contrast Ratio/ 4ms Response Time And Auto Motion Plus 120Hz Technology/ SRS TruSurround XT Audio/ Built-In Digital Tuner (ATSC/Clear QAM)/ Picture-In-Picture/ Auto Volume Leveler/ 4 HDMI Slots/ Swivel Stand/ Piano Black With Hint Amber Finish,,230,DCC-2000 Coffee Maker (12 Cup Stainless Steel),,99.95,0
454,Canon Silver Flash Memory Camcorder - FS100S,Canon Silver Flash Memory Camcorder - FS100S/ Built-In Electronic Lens Cover/ Wireless Remote Control/ 2.7' Widescreen LCD/ 1.07 Megapixel CCD Image Sensor/ 48x Advanced Zoom/ Silver Finish,,773,LG 5.0 cu.ft. Freestanding Gas Range,,,0
819,Sony Active Style Headphones In Black - MDRAS50G,Sony Active Style Headphones In Black - MDRAS50G/ 9mm Drivers/ Lightweight Spiral Neck-Band/ Rich Sound & Deep Bass/ Soft & Flexible Spiral Behind-The-Neck Band/ Cord Adjuster/ 2 Ft. Cord Length & 2 Ft. Extension Cord/ Three Sizes Of Earbuds/ Frequency Response Of 9-23000Hz/ Black Finish,,238,Directed Electronics SUPV1 Car Kit,Sirius Satellite Radio Receiver,,0
718,LG 2.0 Cu. Ft. Over-The-Range Black Microwave Oven - LMVM2085BK,LG 2.0 Cu. Ft. Over-The-Range Black Microwave Oven - LMVM2085BK/ Warming Lamp/ Glide & Spin Sliding Tray With Turntable/ Sensor Cook Feature/ 300 CFM Exhaust System/ Horizontal Keypad/ Elegant Hidden Vent/ WideView Window/ Halogen Cooktop Lighting/ Black Finish,,186,Audiovox CNP2000 XM Mini-Tuner,XM Satellite Radio Receiver,,0
142,Panasonic Digital Camera Battery - CGAS007A1B,Panasonic Digital Camera Battery - CGAS007A1B/ Lithium Ion Type/ For Digital Camera DMCTZ1 And DMCTZ3,,54,Sony STR-DE197 - AV Receiver - 100 Watts per Channel,,122.43,0
213,Weber Stainless Steel Genesis S320 Natural Gas Grill - 3880001,Weber Stainless Steel Genesis S-320 Natural Gas Grill - 3880001/ 3 Stainless Steel Burners/ 42000 BTU-Per-Hour Input/ 12000 BTU-Per-Hour Input Side Burner/ Electronic Crossover Ignition System/ 7MM Diameter Stainless Steel Rod Cooking Grates/ Stainless Steel Flavorizer Bars/ Stainless Steel Finish/ Natural Gas Model/ Assembly Required,969.0,543,Plantronics .Audio 920 Wireless Earset - 78592-01,PLANTRONICS 920 .AUDIO DIGITAL USB PC HEADSET,,0
377,Kensington Orbit Optical Trackball Mouse - 64327,Kensington Orbit Optical Trackball Mouse - 64327/ DiamondEye Optical Technology For Precise Tracking And Cursor Control/ USB And PS/2 Connectivity For Greater Compatibility/ Windows And Mac Compatible/ Metallic Silver And Black Finish,38.0,801,Speck Products SeeThru Case for Apple 15' MacBook Pro - MB15-PNK-SEE-V2,Plastic - Pink,,0
834,Transcend 8GB SDHC Card And Compact Card Reader - TS8GSDHC6S5W,Transcend 8GB SDHC Card And Compact Card Reader - TS8GSDHC6S5W/ SDHC Card Is Class 6 Compliant And Compatible With All SDHC-Labeled Host Devices/ Card Reader Is Fully Compatible With Hi Speed USB 2.0 Up To 480Mb/s And Supports SDHC Memory Cards,26.3,646,Samsung LN46A550 46' LCD TV,Samsung LN46A550 - 46' Widescreen 1080p LCD HDTV - 30000:1 Dynamic Contrast Ratio - 5ms Response Time - Piano Black,1143.99,0
605,Weber Cast Iron Griddle - 7542,Weber Cast Iron Griddle - 7542/ Heavy-Duty Cast Iron Griddle/ Two-Sided For Cooking A Variety Of Foods/ Fits Several Weber Grills,44.99,725,ALPINE CDA-9887 Car Audio Player - CDA9887,CD-R CD-RW - CD-DA MP3 WMA AAC - 4 - 200W - FM AM,295.0,0
176,Sanus 15' - 40' VisionMount Flat Panel TV Black Wall Mount - MF110B,Sanus 15' - 40' VisionMount Flat Panel TV Black Wall Mount - MF110B/ Mounts Within 2.5' Of Wall/ Holds Up To 100 Lbs/ Powder Coated Black Finish,179.99,179,Techcraft Veneto Series ABS32 TV Stand,Glass Wood - Black,150.13,0
772,Samsung S2 White 1GB Flash MP3 Player - YPS2ZW,Samsung S2 White 1GB Flash MP3 Player - YPS2ZW/ Super Compact Pebble Shape Design/ Supports MP3 WMA And Ogg/ 1 GB Internal Flash Memory/ Multi-Color LED Light Effects/ Embedded Easy-To-Use Playback Controls/ DNSe 2.0 Enabled/ USB Connection/ Up To 13 Hours Of Playback/ White Finish,,101,DeLonghi DC50B Twenty Four Seven Drip Coffee Maker Black,,22.95,0
696,LG LFC25770ST 25.0 Cu. Ft. Stainless Steel French Door Bottom Freezer Refrigerator - LFC25770SS,LG LFC25770ST 25.0 Cu. Ft. Stainless Steel French Door Bottom Freezer Refrigerator - LFC25770SS/ 4 Slide Out Tempered Glass Shelves/ Internal LED Touch Pad Digital Temperature Controls/ 2 Humidity Crispers/ Multi-Air Flow Cooling/ IcePlus Accelerated Freezing Function/ LoDecibel Quiet Operation/ BioShield Anti-Bacterial Door Seal/ Pull-Out Freezer Drawer/ Stainless Steel Finish,,291,Garmin Leather Carry Case for Nuvi 660 - 010-10823-01,Top Loading - Leather,9.28,0
775,Panasonic Expandable Bluetooth-Enabled DECT 6.0 Phone System - KXTH1212B,Panasonic Expandable Bluetooth-Enabled DECT 6.0 Phone System - KXTH1212B/ Call Waiting Caller ID/ White Backlit Color LCD/ Lighted Handset Keypad/ Night Mode/ Compatible With Most Bluetooth Cell Phones/ 5 Hours Talk Time/11 Days Standby Time/ 60 Channels/ Black Finish,,868,Panasonic KXTH1212B,,79.99,1
386,LG DLEX8377NM Navy Blue XL Capacity Electric SteamDryer - DLEX8377BLUE,LG DLEX8377NM Navy Blue XL Capacity Electric SteamDryer - DLEX8377BLUE/ 7.3 Cu. Ft. Capacity/ Intelligent Electronic Controls With Dual LED Display And Dial-A-Cycle/ Dual Humidity Sensors/ Precise Temperature Control With A Variable Heater/ 4 Way Venting/ Drum Light/ Navy Blue Finish,,471,Motorola MOTOROKR T505 Bluetooth In-Car Speakerphone - 89149,,,0
22,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF/ CD/CD-R/CD-RW And MP3 Playback/ MP3 Decoding/ D-Bass/ 12-Second Advanced Electronic Shock Protection/ FM Modulator/ 9 Modulation Frequencies/ Wireless Remote,,903,Full Console Dishwasher with 4 Automatic Cycles - DU1055XTSB,,378.29,0
216,Kenwood KCA-IP300V iPod Video Direct Cable - KCAIP300V,Kenwood KCA-IP300V iPod Video Direct Cable - KCAIP300V/ iPod Video Direct Cable For DNX7100 DDX7019 And KVT719DVD Indash Monitors,49.99,997,Panasonic Lumix DMC-FZ28 Digital Camera - Black,Panasonic DMC-FZ28K Lumix 10 Megapixel Digital Camera with 27mm LEICA DC VARIO-ELMARIT Lens 18x Optical Zoom and Intelligent Auto Mode - Black,,0
742,LG 52' Black LCD Flat Panel HDTV - 52LG70,LG 52' Black LCD Flat Panel HDTV - 52LG70/ 1920 x 1080p Full HD Resolution/ 15000:1 Dynamic Contrast Ratio/ TruMotion 120Hz/ HDMI v1.3 With Deep Color/ Intelligent Sensor/ 24p Real Cinema/ Clear Voice Technology/ Invisible Speaker System/ LG SimpLink/ Black Finish,,540,Sony Mylo COM-2 Personal Communicator - Black - COM2BLACK,,,0
