_id,label,table1.id,table2.id,table1.title,table2.title,table1.manufacturer,table2.manufacturer,table1.price,table2.price
0,0,571,946,microsoft visio standard 2007 version upgrade,adobe cs3 design standard upgrade,microsoft,,129.95,413.99
1,0,574,2423,microsoft mappoint 2006 with gps,microsoft student with encarta premium 2008 complete package,microsoft,,349.0,43.6
2,0,250,2839,adobe after effects professional 7.0,adobe flash cs3 professional ( mac ),adobe,,999.0,699.0
3,1,1162,2109,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu digital performer dp5 software music production software,motu,,395.0,319.95
4,1,741,358,illustrator cs3 13 mac ed 1u,adobe illustrator cs3 for mac academic,adobe-education-box,adobe-education-box,199.0,199.99
5,0,396,1253,quickbooks premier non-profit edition 2005,quickbooks ( r ),intuit inc.,,499.95,199.99
6,0,513,989,mavis beacon typing 17 ( win/mac ),broderbund mavis beacon teaches typing standard17,encore software,,19.99,22.99
7,0,892,951,adobe premiere pro cs3,adobe soundbooth cs3 academic,adobe,,799.0,95.99
8,0,1229,1595,adobe photoshop cs2 advanced techniques by julieanne kost,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,software cinema,,,537.65
9,0,510,2845,reader rabbit learning system 1st grade,dr. seuss reading learning system 2008 encore,encore software,,29.99,19.95
10,0,26,521,adobe premiere pro cs3 upgrade,adobe cs3 design premium,adobe,,299.0,1865.99
11,0,1272,2438,punch ! home design architectural series 18,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,punch ! software,,129.99,45.97
12,0,808,313,3d home architect landscape designer v8,encore inc 3d home architect home design deluxe version 9,encore software,,29.99,25.49
13,0,135,1886,microsoft crm professional cal 3.0 product upgrade license pack user cal,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,microsoft software,,9980.0,9676.92
14,0,93,2959,microsoft office frontpage 2003 academic version windows ),microsoft windows vista business full version,microsoft,,159.98,249.95
15,0,1334,3188,adobe creative suite cs3 web standard,adobe creative suite 3 web standard complete package academic cd mac,adobe,,999.0,369.0
16,0,669,674,printmaster gold v 17.0,print master platinum v17,encore software,,19.99,29.9
17,0,632,2112,microsoft windows xp professional full version with sp2,adobe production premium cs3 software suite for windows professional editing software,microsoft,,299.99,1698.95
18,0,113,3117,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),microsoft licenses,,3371.85,719.04
19,0,753,2524,microsoft office & windows training professional,adobe after effects cs3 professional software for windows effects software,topics entertainment,,49.95,998.95
20,0,709,1548,dk smart steps 3rd grade,smart steps 4th grade ( jc ),global-software-publishing,dorling-kindersley-multimedia - ( dk ),9.99,11.95
21,0,604,915,microsoft office small business 2007 full version,microsoft office 2004 std upgrade,microsoft,,449.95,219.99
22,0,719,3106,best of card games ( jewel case ),geometry ( win/mac ) ( jewel case ) ( 10158 ),on-hand-software,,9.99,9.59
23,0,646,845,instant immersion german audio,topics entertainment instant immersion italian 2.0,topics entertainment,,,17.55
24,0,371,3183,microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,109.99,29.99
25,0,1182,2398,onone software pxl smartscale windows and macintosh ),onone software inc. mpr-40212,onone software,onone software inc.,,66.27
26,0,244,2803,microsoft visual studio team edition for software developers 2005 with msdn premium,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,5479.0,549.0
27,1,587,2816,microsoft word 2007 version upgrade,microsoft word 2007 upgrade ( pc ),microsoft,,109.95,109.95
28,0,587,2474,microsoft word 2007 version upgrade,word mac 2004 upgrade microsoft d48-00488,microsoft,,109.95,97.36
29,0,562,3161,adobe dreamweaver cs3 upgrade [ mac ],adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,adobe,,199.0,859.96
30,1,809,2585,hoyle : classic collection 2006,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,encore,,19.99,18.97
31,0,1174,939,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe cs3 design premium academic,adobe,,199.0,575.99
32,0,72,3110,midway arcade treasures ( jewel case ),cross stitch design studio ( jewel case ) ( 8006 ),encore software,m-and-r-technologies,9.99,9.59
33,0,953,1510,digital vault,digital video & audio prod book,stompsoft inc.,sony-pictures-digital-entertainment,29.99,27.5
34,0,584,2518,microsoft windows vista business full version [ dvd ],microsoft powerpoint mac 2004 version upgrade,microsoft,,299.95,89.99
35,0,797,357,zero-g pro pack for garageband ( appleloops ),apple garageband jam pack : symphony orchestra,zero-g,,169.95,95.99
36,0,474,3091,microsoft asp net web matrix,microsoft ( r ) word 2007,microsoft,,30.0,109.99
37,0,554,3009,instant immersion german deluxe 2.0,instant immersion japanese 2.0,topics entertainment,,39.99,22.43
38,0,851,2765,punch ! professional home design platinum v10,punch software 41100 punch ! home design architectural series 18,punch ! software,punch software,99.0,118.99
39,0,554,2501,instant immersion german deluxe 2.0,instant immers french dlx 2,topics entertainment,,39.99,27.57
40,0,588,1865,adobe creative suite cs3 design standard [ mac ],19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,adobe,,1199.0,1691.87
41,0,251,1715,microsoft crm small business ed cal 3.0 license pack user cal,r18-00144 microsoft windows server license & software assurance 1 cal open business,microsoft software,,9929.0,41.58
42,0,804,2291,digidesign music production toolkit ( pro tools le ),apple/emagic logic pro 7.2 software music production software,digidesign,,495.0,999.0
43,0,1118,355,adobe creative suite cs3 master collection upsell,adobe cs3 after effects,adobe,,1999.0,1025.99
44,0,791,3039,hoyle kids ' games jc,hoyle card games,encore,,9.99,9.95
45,0,1138,894,net ad creator,laughingbird the logo creator,laughing bird,,39.99,34.99
46,1,1012,813,reel deal slots 2.0 for pc,phantom efx reel deal slots v 2.0,phantom efx,,9.99,7.36
47,0,1186,2393,adobe creative suite cs3 web standard [ mac ],adobe production premium cs3 software suite for mac av production software,adobe,,999.0,1698.95
48,0,139,1865,adobe creative suite cs3 design premium upsell [ mac ],19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,adobe,,1599.0,1691.87
49,0,550,2959,windows vista business spanish full version [ dvd ],microsoft windows vista business full version,microsoft,,329.95,249.95
50,0,114,1036,quickbooks pos : pro multistore 6.0,quickbooks ( r ) pro 2007 edition 3-user,intuit inc.,,1399.95,499.99
51,0,773,1182,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft ( r ) office word 2004 for mac full version,microsoft corporation,,,231.29
52,0,515,3048,instant immersion spanish deluxe 2.0,instant immersion italian 2.0,topics entertainment,topics entertainment,49.99,20.99
53,0,774,533,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe acrobat v8 .0 professional for mac,adobe software,,273.0,405.99
54,0,1111,2839,apple final cut studio 2 ( mac ),adobe flash cs3 professional ( mac ),apple,,1299.0,699.0
55,0,49,2045,reference success deluxe 2006,high school success deluxe 2006,topics entertainment,,49.95,7.9
56,0,496,3093,microsoft windows vista business 32-bit for system builders,microsoft ( r ) windows vista ( tm ) home basic,microsoft,,179.99,99.99
57,0,490,1075,microsoft visual studio professional 2005 upgrade,microsoft ( r ) excel 2007,microsoft software,,549.0,109.99
58,0,1242,1879,peachtree by sage premium accounting 2007,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,499.99,590.35
59,0,557,426,adobe creative suite cs3 production premium,adobe cs3 production premium upgrade,adobe,,1699.0,822.99
60,0,521,53,microsoft sql server developer edition 2005 cd/dvd,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,microsoft software,,49.95,6594.2
61,0,975,734,computrace lojack for laptops 1 year license ( mac ),lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,absolute software,,49.95,39.95
62,0,1176,2759,valuesoft tune transfer for ipod software for windows xp,pinnacle mobile media converter software for windows ipod software,valuesoft,,29.95,29.95
63,0,1148,3024,sibelius 4 professional edition,sibelius sibelius 5 software music production software,sibelius-software-ltd .,sibelius-software-ltd .,599.99,449.95
64,0,211,289,microsoft entertainment pack ce,entertainment partners ep budgeting for film,microsoft,,49.5,415.99
65,0,322,3032,adobe premiere pro 2.0,premiere pro cs3 mac upgrade,adobe,,849.0,320.25
66,0,271,959,microsoft office small business 2007,microsoft windows vista business retail no open box returns,microsoft software,,735.33,299.99
