tableA_id,tableB_id
0,117
1,1093
3,1125
4,1450
5,49
6,746
7,1179
8,1759
9,1885
10,2289
11,2010
12,1213
13,1223
14,2106
15,1132
16,352
17,1808
18,1164
19,1409
20,742
21,1373
22,1862
23,1149
24,159
25,806
26,1431
27,1418
28,1176
29,2280
30,18
31,1434
32,944
34,1147
35,1040
37,1199
38,2090
39,914
40,1558
41,2283
42,845
43,672
44,406
45,413
46,592
47,1133
48,360
49,1913
50,1713
51,2200
52,1680
53,1433
54,356
55,1694
56,263
57,899
58,147
59,2187
60,832
61,728
62,1240
63,809
64,1256
65,39
66,1997
68,2048
69,1479
70,963
71,1926
72,1087
73,311
75,719
76,1209
77,1651
78,1667
79,1943
80,1461
81,170
82,810
83,1454
84,1627
85,1539
86,499
87,866
88,652
89,310
91,1328
92,1375
93,1712
94,1609
97,309
98,1908
99,2247
100,1058
101,197
102,2163
103,950
104,2174
105,2037
106,785
107,799
108,2252
109,150
110,336
111,1971
112,1735
113,507
114,1920
115,91
117,596
118,1244
119,1478
120,1259
121,1687
122,464
124,1064
125,272
126,1319
127,34
128,1099
129,1662
131,927
132,1660
133,176
134,699
135,1521
136,550
137,1831
138,111
139,1491
141,2201
142,189
143,301
144,1961
145,685
146,1812
147,463
148,1470
149,678
150,252
151,1960
152,398
153,2211
154,1446
155,659
157,1822
158,1044
161,733
162,1600
164,1467
165,341
166,209
167,1670
168,1821
169,1987
170,983
171,1130
173,1895
174,965
175,1234
176,1646
177,8
179,407
180,1668
182,638
183,580
185,254
186,102
187,739
188,749
189,1494
190,1743
191,183
193,536
194,1995
195,888
196,712
197,1493
198,1220
199,543
204,167
205,276
206,246
207,1054
208,1018
209,2184
210,2154
212,1310
213,1860
215,1777
216,885
217,2144
218,1036
221,248
223,2110
224,633
225,760
226,1012
227,686
229,576
230,192
231,1397
232,213
233,1557
234,2207
236,1714
237,1972
239,813
240,1583
241,2095
243,1778
244,679
245,1215
246,1497
248,1708
249,1806
250,812
251,724
252,971
253,1106
254,529
256,1020
257,2034
258,1211
259,2192
260,2020
261,1931
262,2043
263,847
264,1266
265,1661
266,118
267,384
268,1964
269,219
271,1975
272,585
273,2285
276,651
277,363
278,164
279,1401
280,2140
281,2094
282,1255
283,371
286,548
287,1915
288,1515
289,1697
290,470
291,1313
292,674
293,2127
295,757
296,1355
298,953
299,335
300,1742
301,1968
302,820
303,1911
304,551
305,772
306,1522
307,2161
308,297
309,1369
310,292
312,1699
313,1816
314,1274
315,1411
317,1182
318,2086
319,824
320,1442
323,24
324,138
325,958
326,294
327,1055
328,955
329,1251
330,456
331,1701
332,1643
333,2077
334,1333
335,202
336,2169
337,732
339,1361
341,1715
342,2186
343,293
344,916
345,1556
347,954
348,162
349,2241
350,233
351,1354
352,988
353,1620
354,300
355,2120
356,1052
357,251
358,665
359,547
361,980
362,174
363,1214
364,1268
365,2277
366,1719
367,1410
368,1921
369,1200
370,700
371,1863
372,93
373,1447
374,383
375,1635
376,1165
377,245
378,2276
379,214
380,1070
381,281
382,2058
384,140
385,207
386,669
388,1460
390,264
391,1100
392,1768
393,2250
394,98
395,2165
396,1377
397,1016
398,1396
399,658
400,2115
401,2000
402,2135
403,1894
404,1676
405,2138
406,718
407,1696
408,1774
409,788
410,973
411,1823
412,1523
413,1129
414,1567
415,1468
417,887
418,1529
419,974
420,1051
421,2206
423,357
424,1813
425,1187
426,1485
427,902
428,285
429,1364
430,1113
431,1181
432,1782
433,565
434,675
435,840
436,951
437,185
438,1958
439,1574
440,2
441,1363
442,423
443,1993
444,1854
445,239
446,545
448,913
449,586
450,458
452,912
455,1703
456,941
457,143
458,2118
459,1459
460,369
462,317
463,3
465,1003
466,510
467,1197
468,2038
469,1531
470,991
471,1239
472,226
473,23
475,911
478,2059
479,1208
481,571
482,2114
483,977
484,223
485,109
486,1910
487,801
488,2062
489,1928
491,193
492,2112
493,401
494,1492
495,1103
496,177
497,2022
499,165
500,1974
501,1571
503,1339
504,871
505,1788
506,1378
507,932
508,1233
509,403
510,2097
511,483
512,1869
513,1717
514,985
515,1075
516,735
518,1180
519,743
520,180
521,2139
522,537
524,1224
525,639
526,418
527,51
528,2074
529,477
530,1633
531,1089
533,1008
534,187
535,584
536,2031
537,1349
538,1042
539,762
541,607
542,1035
543,204
544,1658
545,1160
546,1874
547,2222
548,1367
549,295
551,168
552,1538
553,2232
554,153
555,2025
556,711
557,78
558,1879
560,1302
561,1992
562,235
563,370
564,897
565,1076
567,1456
568,827
569,130
572,1385
573,1330
574,514
575,527
576,644
577,2087
578,2248
579,331
580,33
581,267
582,446
583,288
584,396
586,1062
587,144
588,1729
589,432
590,36
591,120
592,1878
593,1740
594,2143
595,445
597,1146
598,238
599,987
600,2235
601,438
602,1257
603,2072
604,422
605,893
606,1438
607,13
608,2229
609,428
610,1595
611,2092
612,139
613,1826
614,20
615,1417
616,1348
617,35
618,1298
619,154
620,339
622,15
623,2188
624,920
625,978
626,710
627,1588
630,964
631,1190
632,200
633,647
634,485
635,1902
638,1006
639,218
640,1050
641,1043
642,452
643,698
644,591
647,1767
648,414
649,1483
650,172
651,2014
652,1520
654,2292
655,319
656,1799
658,636
659,2042
660,2249
661,1836
662,500
664,1094
665,2264
666,588
667,2152
668,1988
669,2099
670,587
671,2290
672,114
673,1322
674,1455
675,12
676,1936
677,1366
678,1629
679,1655
680,1887
681,2073
682,1218
683,1744
684,2070
685,1876
687,1855
688,1866
690,262
691,622
692,1761
694,1077
695,420
696,1875
697,1590
698,1745
699,677
700,132
701,789
702,1173
703,1297
705,513
706,345
707,1569
710,94
711,1871
712,376
713,1342
714,472
715,455
716,2012
718,2104
719,684
720,1248
722,1710
723,1560
724,1400
725,2141
727,640
728,44
729,1021
730,741
731,259
732,995
733,853
735,1403
736,1327
737,1423
738,860
739,1554
740,1177
741,157
742,152
743,1785
744,1072
745,1796
746,243
747,287
748,618
750,411
751,236
752,1277
753,1229
754,57
755,1572
756,1580
757,849
758,137
759,1897
760,836
762,2082
763,1204
764,237
765,1672
766,1135
767,271
768,1170
769,864
770,1691
772,962
773,1678
774,826
775,344
776,2076
778,1751
780,1811
781,597
782,1941
783,2239
784,796
785,1329
786,720
787,508
788,1111
789,178
790,1169
791,948
792,71
793,1061
794,68
795,1685
796,1331
797,755
798,1281
799,53
801,908
803,2041
804,1648
805,637
806,1027
809,1015
811,1104
812,318
814,1102
815,1145
816,1707
817,196
818,1519
820,64
821,1762
822,1085
823,581
824,1930
826,562
827,173
828,655
829,1001
830,1264
831,773
832,1412
835,1612
836,933
837,1584
838,1490
839,998
840,1766
841,1517
843,850
844,775
845,702
846,435
847,1191
849,717
850,560
852,841
853,602
854,1156
855,1219
856,855
857,1290
858,1139
859,716
861,2253
862,52
863,1471
864,1222
865,82
866,553
868,2029
869,734
870,316
871,2081
872,1057
873,883
874,1654
876,1549
877,103
878,1325
880,1999
881,467
884,1358
886,1899
887,2002
888,2006
889,1945
890,865
891,88
892,1122
893,478
894,474
895,195
896,837
898,495
899,1814
900,1131
901,2053
902,610
903,646
905,1791
908,136
909,1756
910,1474
911,1709
912,145
913,1004
915,482
916,2083
917,1586
918,47
919,1507
921,400
922,1316
923,821
925,378
926,494
927,590
929,2233
930,770
931,38
932,62
933,1883
934,334
935,1171
936,412
937,1550
939,2045
940,1201
942,744
943,358
944,680
945,859
947,2236
948,1706
949,274
950,2183
951,1300
952,752
953,1998
954,884
955,1957
956,1196
957,2101
959,1804
960,1098
961,982
962,574
963,931
965,1861
967,2219
969,133
970,1850
971,1152
972,1513
973,4
974,395
975,1625
976,1186
977,544
978,179
979,156
980,1664
982,542
985,877
986,626
987,1675
988,949
989,1809
990,1644
992,1637
993,1010
994,817
995,1445
996,1552
998,2266
999,1312
1000,261
1001,1498
1002,1060
1005,795
1006,727
1007,1370
1008,282
1009,1226
1010,1890
1011,790
1012,2167
1013,76
1014,1624
1015,1601
1016,1663
1017,1977
1018,1295
1019,629
1020,323
1021,1534
1023,163
1024,1698
1025,1288
1026,794
1028,27
1029,970
1030,1800
1031,1501
1032,968
1033,919
1034,1371
1036,1711
1037,642
1038,1859
1039,568
1040,353
1041,1833
1042,1638
1043,1951
1044,258
1045,131
1046,37
1047,1437
1048,1107
1049,242
1050,1320
1051,1019
1052,1693
1053,1797
1054,1155
1055,997
1056,338
1057,613
1058,43
1059,45
1060,1221
1061,1284
1062,2122
1063,105
1064,315
1066,2210
1067,673
1069,905
1070,1039
1071,1802
1072,945
1075,125
1076,1919
1077,55
1080,320
1081,1980
1082,1535
1084,2033
1085,892
1086,917
1087,166
1088,280
1089,104
1090,1692
1092,1356
1094,876
1095,1739
1096,2246
1098,689
1099,1666
1100,2153
1102,1669
1103,382
1104,1561
1105,1900
1106,1238
1107,1939
1108,1881
1109,65
1111,1645
1112,1299
1114,756
1115,1425
1116,2261
1117,1074
1118,1205
1119,1614
1120,1092
1121,473
1122,2151
1123,1949
1124,29
1125,1948
1126,199
1128,134
1130,1241
1131,92
1132,181
1133,1748
1134,2026
1135,906
1136,1148
1138,780
1139,229
1140,1547
1141,149
1142,1839
1143,2146
1145,1545
1146,5
1147,819
1148,1402
1149,155
1150,1716
1151,1604
1153,798
1154,430
1156,1726
1157,2244
1158,175
1161,429
1162,937
1163,1752
1164,329
1165,1137
1166,1591
1167,325
1168,1990
1169,1195
1170,709
1171,1344
1172,321
1173,448
1174,2044
1175,355
1177,1292
1178,1724
1179,1562
1180,56
1181,1047
1182,818
1183,857
1184,25
1185,1880
1186,2223
1187,811
1188,2024
1189,1969
1190,2221
1192,1731
1193,2270
1194,2177
1196,1030
1197,1081
1198,2093
1199,359
1200,115
1201,1123
1202,1592
1203,2158
1204,1192
1206,1728
1207,802
1208,275
1209,822
1210,635
1211,2040
1212,2103
1213,1464
1214,1536
1215,215
1217,1340
1218,1227
1219,882
1220,1801
1221,1616
1222,392
1223,496
1225,17
1226,2008
1227,1346
1228,1353
1229,664
1230,1415
1231,330
1232,1352
1234,1641
1235,126
1236,660
1237,22
1238,731
1239,1832
1241,1576
1242,279
1243,2119
1244,10
1245,2181
1246,2160
1247,1458
1248,211
1249,538
1250,554
1251,77
1252,1857
1253,696
1254,1452
1255,2278
1256,1357
1257,2175
1258,11
1259,1017
1263,1112
1264,1151
1265,1603
1266,2142
1267,454
1268,863
1269,106
1270,766
1272,460
1273,1045
1274,1262
1275,671
1276,1905
1277,42
1278,688
1280,1755
1281,364
1283,240
1284,70
1285,1473
1286,146
1289,2212
1290,385
1291,2109
1292,1843
1294,1134
1295,1206
1296,609
1297,1946
1298,1086
1299,2057
1300,1722
1301,764
1302,2194
1303,2237
1304,1463
1305,603
1306,2216
1307,1308
1308,1301
1309,2263
1310,594
1313,617
1315,244
1316,989
1317,444
1318,1929
1319,632
1320,1684
1321,2027
1322,1449
1323,2089
1324,1984
1325,1702
1326,2230
1327,540
1328,517
1329,1872
1330,2117
1331,1700
1332,1841
1333,354
1336,1063
1337,312
1338,1925
1340,1228
1341,2199
1342,362
1343,844
1344,792
1346,1918
1347,952
1348,186
1349,1082
1350,2257
1351,1231
1352,767
1353,84
1354,2009
1355,1746
1356,332
1357,1950
1358,2157
1359,1868
1360,1053
1361,1906
1362,1232
1363,1798
1364,1338
1365,1873
1366,374
1367,1815
1368,803
1370,2003
1371,1776
1372,502
1373,1294
1374,1842
1375,929
1376,1901
1377,518
1378,101
1379,1792
1380,2202
1381,923
1382,1994
1383,394
1384,1495
1385,127
1386,1853
1387,410
1388,763
1390,783
1392,708
1393,241
1395,1632
1396,2287
1397,1216
1398,1996
1400,2019
1401,1280
1402,2005
1403,567
1404,1193
1406,1824
1407,148
1408,2217
1409,443
1410,1210
1411,1230
1412,1793
1413,682
1414,58
1415,2255
1416,2275
1418,1720
1419,2173
1420,670
1421,1029
1423,2049
1424,1540
1425,2196
1426,1727
1428,1088
1429,250
1430,1475
1433,878
1434,1269
1435,628
1436,224
1437,721
1438,1659
1439,791
1440,1031
1441,1618
1443,426
1444,1673
1445,141
1447,2205
1448,476
1450,1577
1451,761
1452,2125
1453,299
1456,1172
1457,835
1458,1933
1459,1317
1460,75
1462,290
1463,1597
1464,2068
1465,2262
1466,1444
1467,1084
1468,256
1469,465
1470,1
1471,777
1472,1136
1473,1291
1474,2178
1475,1416
1476,216
1477,984
1478,1457
1479,366
1480,340
1481,1048
1482,1405
1484,872
1485,737
1487,815
1488,1991
1489,365
1490,1851
1491,1650
1493,2251
1495,2271
1496,1829
1497,1118
1498,1203
1502,206
1503,1967
1504,1528
1505,2198
1506,1575
1507,1049
1508,1404
1509,774
1510,1002
1511,676
1512,1282
1513,1891
1514,1837
1515,1730
1516,643
1517,2047
1518,1917
1519,1289
1520,1530
1521,1398
1522,2065
1523,1263
1524,1686
1525,1810
1526,1770
1528,979
1529,1656
1530,306
1533,1640
1534,2156
1535,1589
1536,874
1537,492
1538,873
1539,2193
1540,1408
1541,255
1542,1912
1545,1888
1547,457
1548,2291
1549,1747
1550,2185
1551,1904
1552,2075
1553,939
1555,947
1556,2214
1557,2226
1559,1723
1560,1267
1561,322
1562,2274
1564,1679
1565,135
1567,442
1568,1587
1569,95
1571,90
1572,1362
1573,350
1574,326
1575,1314
1576,87
1577,232
1578,2001
