tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
1193,A performance study of four index structures for set-valued attributes of low cardinality,"Guido Moerkotte, Sven Helmer",VLDB J.,2003,2270,A performance study of four index structures for set-valued attributes of low cardinality,"Sven Helmer, Guido Moerkotte",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2003.0,1
66,"Domains, Relations and Religious Wars",Rafael Camps,SIGMOD Record,1996,1997,"Domains, relations and religious wars",R. Camps,ACM SIGMOD Record,1996.0,1
990,Shoring Up Persistent Applications,"Mark L. McAuliffe, C. K. Tan, Marvin H. Solomon, Nancy E. Hall, Michael J. Zwilling, Michael J. Carey, Michael J. Franklin, Seth J. White, Jeffrey F. Naughton, David J. DeWitt, Odysseas G. Tsatalos, Daniel T. Schuh",SIGMOD Conference,1994,1644,Shoring up persistent applications,"Michael J. Carey, David J. DeWitt, Michael J. Franklin, Nancy E. Hall, Mark L. McAuliffe, Jeffrey F. Naughton, Daniel T. Schuh, Marvin H. Solomon, C. K. Tan, Odysseas G. Tsatalos, Seth J. White, Michael J. Zwilling",International Conference on Management of Data,1994.0,1
1042,Distributing a Search Tree Among a Growing Number of Processors,"Brigitte Kr?ll, Peter Widmayer",SIGMOD Conference,1994,121,Contextualizing the information space in federated digital libraries,"M. P. Papazoglou, J. Hoppenbrouwers",ACM SIGMOD Record,1999.0,0
548,Model-Based Information Integration in a Neuroscience Mediator System,"Bertram Lud?scher, Amarnath Gupta, Maryann E. Martone",VLDB,2000,2081,QC-trees: an efficient summary structure for semantic OLAP,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",International Conference on Management of Data,2003.0,0
1720,Toward Autonomic Computing with DB2 Universal Database,"Guy M. Lohman, Daniel C. Zilio, Sam Lightstone",SIGMOD Record,2002,1118,Flexible Relations - Operational Support of Variant Relational Structures,"Christian Kalus, Peter Dadam",Very Large Data Bases,1995.0,0
934,Reminiscences on Influential Papers,Richard T. Snodgrass,SIGMOD Record,1998,400,DISIMA: a distributed and interoperable image database system,"Vincent Oria, M. Tamer &#214;zsu, Paul J. Iglinski, Shu Lin, Bin Yao",International Conference on Management of Data,2000.0,0
108,Removing permissions in the flexible authorization framework,"?sa Hagstr?m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",ACM Trans. Database Syst.,2003,2252,Removing permissions in the flexible authorization framework,"Duminda Wijesekera, Sushil Jajodia, Francesco Parisi-Presicce, &#197;sa Hagstr&#246;m",ACM Transactions on Database Systems (TODS),2003.0,1
1989,Databases for Networks,H. V. Jagadish,SIGMOD Conference,1994,1175,Dictionary-based order-preserving string compression,Gennady Antoshenkov,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1997.0,0
1132,Panel on Next Generation Database Systems Won't Work Without Semantics!,John Mylopoulos,SIGMOD Conference,1998,792,High-Performance Extensible Indexing,Marcel Kornacker,Very Large Data Bases,1999.0,0
613,Eliminating Costly Redundant Computations from SQL Trigger Executions,"Fran?ois Llirbat, Fran?oise Fabret, Eric Simon",SIGMOD Conference,1997,1154,Sing the truth about ad hoc join costs,"Laura M. Haas, Michael J. Carey, Miron Livny, Amit Shukla",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1997.0,0
2412,On Optimal Node Splitting for R-trees,"Yv?n J. Garc?a, Scott T. Leutenegger, Mario A. Lopez",VLDB,1998,1032,Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,"Srinivas Ashwin, Prasan Roy, S. Seshadri, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases,1997.0,0
