tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
1338,Five by Eight by Eight,,11.0,1.0,,,,1962-01-01,"Drama,Sport,Western",,,4748,Five by Eight,,,11.0,1.0,,,,1962-12-10,,1962-01-01,,,,1
2237,Okhwan's Mission Impossible,,,,,,,2016-01-01,"Adventure,Biography,Documentary",,68.0,995,Okhwan na ceste za slobodou,,,,,,,,2016-06-09,,2016-01-01,,Documentary,,1
977,Hate Crimes,,5.0,4.0,,,,1995-01-01,"Crime,Drama,Mystery",,,4829,The Primary,,,7.0,1.0,,,,2008-07-27,,2008-01-01,,,,0
408,,Isao Tomita,,,2016-01-01,1932-01-01,,,,"composer,music_department,soundtrack",,5449,,Isao Tomita,,,,,,,,,,,,,1
3719,Bag m?vs?m?,,,,,,,1985-01-01,Drama,,82.0,4368,Ba? M?vs?m?,,,,,,,,1985-02-19,,1985-01-01,77,Drama,,1
4017,,Justine Chase,,,,,,,,actress,,5542,And Then There Were Six,,,4.0,1.0,,,,2014-11-25,,2014-01-01,,,,0
982,Mel's Offer,,1.0,4.0,,,,2004-01-01,Comedy,,30.0,4938,Metaphysical and Devotional 1590-1670,,"The vigour and audacity of John Donne's love poetry is contrasted with his equally powerful devotional works. The programme then explores the work of Donne's disciple George Herbert, and Andrew Marvell.",6.0,1.0,,,,1984-06-06,,1984-01-01,,,,0
1492,,Jerome Hairston,,,,,,,,"producer,writer,miscellaneous",,32,,Jerome Hairston,,,,,,,,,,,,,1
1947,,Ely Bam's,,,,,,,,"producer,editor,writer",,5651,,Sousuke Takaoka,,,,,,,,,,,,,0
4659,Eine Million auf Nummernkonto,,2.0,6.0,,,,1968-01-01,Drama,,59.0,3757,,Jeremy Saulnier,,,,,,,,,,,,,0
3805,,Al Mukadam,,,,1984-01-01,,,,"actor,writer,producer",,1077,Episode 4,,"Maxx chases an other Isz, only this time the two worlds, the City and the Outback, collide.  The Isz leads him to another battle with Mr. Gone.  Maxx stops fighting when Gone reveals that he knows the origin and truth about Maxx.  They have a long talk. Maxx questions Gone's revelations over a roof-top pedicure with Julie.  We discover that Julie was raped and left for dead many years ago.  We begin to understand why Julie is hiding from this truth.",4.0,1.0,,,,1995-04-17,,1995-01-01,,,,0
4577,,Ed Bianchi,,,,1942-01-01,,,,"director,producer,miscellaneous",,1718,,Ed Bianchi,,,,,,,,,,,,,1
48,,Alec C. Snowden,,,1983-01-01,1901-01-01,,,,"producer,director,actor",,1399,Shaq,,"Larry is villainized for accidentally tripping Shaquille O'Neal at a Lakers game, but the incident ironically ends up bringing him good luck.",8.0,2.0,,,,2001-11-11,,2001-01-01,,,,0
4468,,David Kasday,,,,1942-01-01,,,,"actor,soundtrack",,5676,Cousin Flora,,Monty is puzzled when his cousin Flora doesn't enjoy playing the same way he does.,65.0,1.0,,,,2017-10-20,,2017-01-01,,,,0
610,Sawtucket Festival,,2.0,1.0,,,,1957-01-01,Adventure,,30.0,5454,Episode 6,,,6.0,2.0,,,,2014-10-08,,2014-01-01,,,,0
4844,,Alexander Edwards,,,,,,,,writer,,5201,Stable Mates,,,15.0,2.0,,,,1962-01-08,,1962-01-01,,,,0
1642,,Bobby Driscoll,,,1968-01-01,1937-01-01,,,,"actor,soundtrack,miscellaneous",,5315,,Jason Salkey,,,,,,,,,,,,,0
529,The Accused,,11.0,5.0,,,,1958-01-01,Drama,,30.0,5206,The Clara Schumann Story,,,26.0,1.0,,,,1954-03-21,,1954-01-01,,,,0
1654,,Patricia Blair,,,2013-01-01,1933-01-01,,,,actress,,102,,Anna Pinnock,,,,,,,,,,,,,0
1849,,Lori Martin,,,2010-01-01,1947-01-01,,,,actress,,3297,,Lori Martin,,,,,,,,,,,,,1
2783,,Fran?ois Sagat,,,,1979-01-01,,,,"actor,director,writer",,4524,Sita Sings the Blues,,An animated version of the epic Indian tale of Ramayana set to the 1920s jazz vocals of Annette Hanshaw.,,,,,,2008-02-11,,2008-01-01,81,Animation,,0
2322,,Randy Ashman,,,,,,,,,,1967,,Complexly,,,,,,,,,,,,,0
1273,,Robert Brubaker,,,2010-01-01,1916-01-01,,,,actor,,5231,,Lesley Sharp,,,,,,,,,,,,,0
2294,,Jeffrey Hayden,,,2016-01-01,1926-01-01,,,,"director,producer,writer",,1951,,Jeffrey Hayden,,,,,,,,,,,,,1
1478,Chapter 19,,6.0,2.0,,,,2014-01-01,Drama,,52.0,319,,Jennifer Dahlman,,,,,,,,,,,,,0
1867,,Youssef Assad,,,,,,,,actor,,3072,Deception,,Richard goes undercover and infiltrates a D'Haren camp to save innocent lives after he and Kahlen discover that Darken Rahl has been using dark magic to fight the resistance.,17.0,1.0,,,,2009-03-28,,2009-01-01,,,,0
1097,,Derek Rogers,,,,,,,,"cinematographer,camera_department,director",,1551,,Steve Hyde,,,,,,,,,,,,,0
1015,,Marilyn Maxwell,,,1972-01-01,1920-01-01,,,,"actress,soundtrack",,980,Chordates,,"Hank introduces us to ourselves by taking us on a journey through the fascinatingly diverse phyla known as chordata. And the next time someone asks you who you are, you can give them the facts: you're a mammalian amniotic tetrapodal sarcopterygian osteichthyen gnathostomal vertebrate cranial chordate.",24.0,1.0,,,,2012-07-09,,2012-01-01,,,,0
4438,,Stephen McNally,,,1994-01-01,1911-01-01,,,,actor,,4759,,Dan Simon,,,,,,,,,,,,,0
2510,,Jorge Zamacona,,,,,,,,"producer,writer,miscellaneous",,3171,,Jorge Zamacona,,,,,,,,,,,,,1
4359,Double Blind,,18.0,5.0,,,,1997-01-01,"Crime,Drama,Mystery",,,135,,Giao-Chau Ly,,,,,,,,,,,,,0
2275,,Jacques Tourneur,,,1977-01-01,1904-01-01,,,,"director,assistant_director,editor",,4606,,Jacques Tourneur,,,,,,,,,,,,,1
