tableA_id,tableA_title,tableA_name,tableA_episodeNumber,tableA_seasonNumber,tableA_deathYear,tableA_birthYear,tableA_endYear,tableA_startYear,tableA_genre_list,tableA_primaryProfessions,tableA_runtimeMinutes,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
2934,,Jay Potter,,,,,,,,"actor,writer,editor",,3027,Get it Wrong to Get it Right,,"Monty is upset when he makes a mistake constructing a paper plane, but learns that mistakes can be useful sometimes.",75.0,1.0,2017-11-03,,0
743,Chapter 62,,10.0,5.0,,,,2017-01-01,Drama,,56.0,736,,Charlize Theron,,,,,guestStars,0
2423,,Charo L?pez,,,,1943-01-01,,,,"actress,writer,miscellaneous",,3437,Murder is Corny,,"A model frames Archie for the murder of a delivery boy, who was supposed to bring him Wolf's specially picked corn, and Archie doesn't have an alibi. Who killed the delivery boy and why?",5.0,2.0,2002-05-05,,0
478,,Malcolm Atterbury,,,1992-01-01,1907-01-01,,,,actor,,7376,,Marilyn Child,,,,,guestStars,0
348,,Harry Miles Muheim,,,2003-01-01,1920-01-01,,,,"writer,producer",,4444,,Harry Muheim,,,,,writers,1
2284,,Taylor Kitsch,,,,1981-01-01,,,,"actor,director,writer",,242,,Kevin Arkadie,,,,,writers,0
513,,Pilli Diwakar,,,,,,,,"cinematographer,camera_department,actor",,6633,,Jay Johnston,,,,,guestStars,0
2579,,Dee Carroll,,,1980-01-01,1925-01-01,,,,actress,,4896,,Murray Rubin,,,,,guestStars,0
2713,Path of the Hurricane,,22.0,1.0,,,,1958-01-01,Adventure,,30.0,2807,W-E– WE’RE B-A– BACK!,,"While JJ was at summer camp, Maya decided it’s time the family no longer use JJ’s disability as an excuse to let their lives fall through the cracks. Maya, Jimmy and Dylan make dramatic changes, but a smug Ray decides he will spend the summer watching his family likely failing at their attempts. When JJ comes home, Kenneth finds a love note in JJ’s luggage from Alexa (guest star Rose Crisman), a girl he met at camp, who wants to give JJ his first kiss. The family chucks their self-improvement projects and hits the road to find Alexa.",1.0,2.0,2017-09-27,,0
3702,,Kim Kuhteubl,,,,,,,,"actress,producer,writer",,2093,Microcosmos,,,13.0,0.0,2013-09-18,,0
2730,,Bridget Regan,,,,1982-01-01,,,,actress,,6048,,Bonnie Mark,,,,,director,0
3474,Mercy,,16.0,6.0,,,,1998-01-01,"Crime,Drama,Mystery",,,2757,,Elijah Wood,,,,,guestStars,0
3220,,Ann Morrison,,,1978-01-01,1916-01-01,,,,actress,,2762,The Andy Griffith Show,,"Down-home humor and an endearing cast of characters helped make The Andy Griffith Show one of the most beloved comedies in the history of TV. The show centered around widower Andy Taylor, who divided his time between raising his young son Opie, and his job as sheriff of the sleepy North Carolina town, Mayberry. Andy and Opie live with Andy's Aunt Bee, who serves as a surrogate mother to both father and son. Andy's nervous cousin, Barney Fife, is his deputy sheriff whose incompetence is tolerated because Mayberry is virtually crime-free.",,,1960-10-03,,0
2904,Devil in Paradise,,26.0,1.0,,,,1962-01-01,Adventure,,,711,,Philip Voss,,,,,actor,0
3441,,Sarah Niles,,,,,,,,actress,,4926,Summary I,,This episode summarizes the events the Tsubasa Tiger episodes,7.0,0.0,2013-08-11,,0
1403,Nightmare on Napuka,,15.0,1.0,,,,1960-01-01,Adventure,,60.0,4382,Image Comics: Declaration of Independents,,"Seven renegade artists shock the comic-book industry by starting their own company, Image Comics, to rival giants Marvel and DC.",6.0,1.0,2017-12-11,,0
1490,,F.R. Weir,,,,,,,,writer,,4190,Hillary Clinton,,Hillary Clinton sits down with Zach Galifianakis for her most memorable interview yet.,22.0,1.0,2016-09-22,,0
2685,,Anatoliy Zabolotskiy,,,,1935-01-01,,,,cinematographer,,1239,,Raja Deka,,,,,guestStars,0
1414,B?sta testen: Del 2,,10.0,3.0,,,,2019-01-01,Comedy,,,7017,The Fairy Tale of the Prince and Princess,,"How can a single mother with a history from the Norwegian house and party scene end up as Crown Princess? The story of His Royal Highness Crown Prince Haakon and Her Royal Highness Mette Marit is a true fairy tale, powered by the heart's ability to fall in love despite all challenges. Norwegian Monarchy, tradition and tolerance was tested to its limits, as Haakon and Mette Marit fought for acceptance from the government, the church and the Norwegian people. This investigative musical follows the Crown Prince and Princess from the party days to the fairy tale wedding.",7.0,1.0,2018-04-09,,0
3694,,Roy Webb,,,1982-01-01,1888-01-01,,,,"composer,music_department,soundtrack",,270,,?? ?,,,,,director,0
2652,,Kiyoshi Kobayashi,,,,1933-01-01,,,,actor,,1241,,Kiyoshi Kobayashi,,,,,actor,1
2146,,Ted Demme,,,2002-01-01,1963-01-01,,,,"director,producer,actor",,2193,,Ted Demme,,,,,director,1
2086,Sidewinder,,7.0,1.0,,,,1962-01-01,"Drama,Sport,Western",,60.0,3444,,Bjarte Ylvis?ker,,,,,actor,0
4139,,Barry Atwater,,,1978-01-01,1918-01-01,,,,"actor,sound_department",,5140,The Accelerator to the Abyss,,"Hong Soo catches Kang Woo interrogating Burying Beetle at Port Poongsan. While trying to stop Kang Woo, Burying Beetle gets away. But not everything is for naught, as Kang Woo now knows a clue related to Wire Shun. Meanwhile, the Golden Time Team gets a call from a man saying someone drunk or high has beaten him up. (Source: Viu)",7.0,3.0,2019-06-01,,0
47,,Robert J. Hogan,,,1963-01-01,1897-01-01,,,,writer,,2465,,,,16.0,1.0,2016-12-20,,0
4231,,Ricky Gervais,,,,1961-01-01,,,,"writer,producer,actor",,7535,,Stivi Paskoski,,,,,guestStars,0
4607,,Mary Jane Waldo,,,,,,,,writer,,776,,Jay Leno,,,,,guestStars,0
4079,,Paul Ivano,,,1984-01-01,1900-01-01,,,,"cinematographer,camera_department",,5793,,Cathleen Nesbit,,,,,guestStars,0
3372,,Hugo Becker,,,,1987-01-01,,,,"actor,producer,director",,5229,,Gardner McKay,,,,,actor,0
3527,,Christopher Sabat,,,,1973-01-01,,,,"actor,producer,miscellaneous",,2152,,Danielle Cormack,,,,,guestStars,0
4746,,Yui Horie,,,,1976-01-01,,,,"actress,soundtrack,music_department",,3888,,Yui Horie,,,,,actor,1
40,,Ester Namdar,,,,,,,,"writer,script_department",,210,,Shana Goldberg-Meehan,,,,,director,0
269,,Lloyd Rose,,,,,,,,writer,,7165,,ITV,,,,,,0
2339,,Mark Gagliardi,,,,,,,,"actor,writer,animation_department",,2271,Cradle to Grave,,"The deputy commissioner invites Pembleton to lunch and gets him to investigate a case involving a congressman. Beau hires a private detective to find Beth and the kids when his clue that they are in Wilmington falls through. Howard and Felton investigate a case of a dead homeless man. Their job is made more difficult when they can't find the body. Lewis and Munch investigate the death of a motorcycle gang member. Pembleton finds out the truth, participates in the cover-up and then resigns when the media gets hold of the real story and the deputy commissioner doesn't back him up.",10.0,3.0,1995-01-13,,0
4888,,Ginny Tyler,,,2012-01-01,1925-01-01,,,,"actress,miscellaneous,sound_department",,5197,,Giselle Torres,,,,,guestStars,0
3859,,Susan Oliver,,,1990-01-01,1932-01-01,,,,"actress,director,writer",,2517,Black Maps and Motel Rooms,,"Ray, Ani and Paul take precautionary measures to elude detection and untangle a dark mystery. Frank deals with the fallout of his betrayal.",7.0,2.0,2015-08-02,,0
4345,,Terry Moore,,,,,,,,"writer,art_department",,4196,Sink or Swim,,,11.0,2.0,1960-12-19,,0
33,,Danica Dawn Johnston,,,,,,,,actress,,4097,,Jack Frost,,,,,guestStars,0
2638,The Eternal Now: Part 1,,28.0,7.0,,,,1960-01-01,Drama,,30.0,7470,,Tim Caggiano,,,,,guestStars,0
2091,,Anthony DiMarco,,,2000-01-01,1917-01-01,,,,"editor,editorial_department,production_manager",,330,The Korean Bookie,,"Larry has his jacket borrowed without permission, but he manages to end up the bad guy. Meanwhile, his investigation into what happened to Jeff's missing dog, Oscar, leads him to suspect his Korean bookie.",9.0,5.0,2005-11-27,,0
5098,,Tiffany Holiday,,,,1986-01-01,,,,actress,,7025,,Jay Simms,,,,,writers,0
327,,Doug Wolven,,,,,,,,miscellaneous,,6655,Flower Power,,"Monty tries to get his family to play football with him, but they are all too busy doing flower-related activities. Monty starts to wonder if flowers are really as amazing as everyone seems to think they are.",12.0,1.0,2016-07-05,,0
1609,,Ingrid Resch,,,,1935-01-01,,,,actress,,4443,,Hillary Danner,,,,,guestStars,0
2961,Night Finds You,,2.0,2.0,,,,2015-01-01,"Crime,Drama,Mystery",,58.0,5213,Night Finds You,,"Ben Caspar's autopsy reveals the gruesome details of his demise, and Ray and Ani wonder if it has anything to do with his fondness for prostitutes. Meanwhile, Frank looks into what might have happened to his missing fortune.",2.0,2.0,2015-06-28,,1
3712,,Stoyan Ganev,,,,,,,,"composer,producer",,7604,Listener,,Richard and Kahlan rescue a young child who can read a person's mind by looking into their eyes.,5.0,1.0,2008-11-22,,0
3127,,Marc Alcaldo,,,,,,,,actor,,325,The Wanda Beach Murders/Beaumont Children Mystery,,"'CI investigates into two of the most infamous unsolved mysteries in Australian criminal history are examined in The Wanda Beach Murders and The Beaumont Children Mystery.In 1965, when Australian teenage culture was centred on sun, sand, and surf, the nation was shocked by the brutal bashing, rape and murder of two 15-year-old girls in the sand hills at Sydney's Wanda Beach.A massive police hunt failed to find the killer but now, more than 40 years later, there is growing evidence that he could be a known psychotic murderer. A year later, on an Australia Day outing to a beach in Adelaide, three small children, Jane, Arnna, and Grant Beaumont, disappeared suddenly and without a trace. Were they abducted by the man seen playing with them at the beach, or were they buried in an accident, as claimed by a world-famous clairvoyant who was flown to Adelaide from Europe by the media and concerned local citizens? Are they still alive?",11.0,1.0,2005-08-01,,0
1777,This Is the Moment,,16.0,6.0,,,,1959-01-01,Drama,,30.0,2772,,Brian Constantini,,,,,guestStars,0
1389,,Douglas Morrow,,,1994-01-01,1913-01-01,,,,"writer,actor,producer",,7322,Stark Raving Mad,,"'''Stark Raving Mad'' centered on eccentric horror author Ian Stark (Tony Shalhoub, Wings, Monk) whose first novel, Below Ground, turned him into an overnight sensation. A practical-joker by nature, Ian spent the bulk of his time harassing his uptight new editor, Henry McNeely (Neil Patrick Harris, Doogie Howser, How I Met Your Mother). Sharing Ian's loft apartment were Jake Donovan (Eddie McClintock, Crumbs, AUSA, Holding the Baby), his mindless assistant, and lovable but horny mutt Edgar. Living across the hall was Maddie Keller (Heather Paige Kent, That's Life, Jenny), who tended bar downstairs in the pub that the gang frequented. Henry's snobby girlfriend, Tess Faraday (Dorie Barton, The Adventures of A.R.K.) spent a lot of time hanging out with Henry's new friends, though she resented them for taking up so much of Henry's time. Also seen from time-to-time were Audrey Radford (Harriet Sansom Harris, 5 Mrs. Buchanans, Frasier, Desperate Housewives), Henry's snooty boss who discovered (and lusted after) Ian, and her closeted husband Caesar (Chris Sarandon, Fright Night, Child's Play).",,,1999-09-23,,0
99,,Heinz Klevenow,,,1975-01-01,1908-01-01,,,,actor,,601,,Sharon Elizabeth Doyle,,,,,writers,0
974,,Maggie Cheung,,,,1964-01-01,,,,"actress,soundtrack",,4536,The Beach at Belle Anse,,,22.0,3.0,1962-03-04,,0
4467,,Josef Fr?hlich,,,,1933-01-01,,,,actor,,1540,,Wendell Neal Jr.,,,,,guestStars,0
1400,,Guido Alberti,,,1996-01-01,1909-01-01,,,,actor,,151,,Pat McNamara,,,,,guestStars,0
2492,,Robert Rockwell,,,2003-01-01,1916-01-01,,,,"actor,soundtrack",,4025,Nero Wolfe (2001),,"Genius detective Nero Wolfe and his right-hand man, Archie Goodwin, solve seemingly impossible crimes.",,,2001-04-01,,0
3802,,Michael Cosgrove,,,,,,,,writer,,3496,Change & Revolution,,How does a community form? How does it survive and adapt to change? The role myths and legends have played in establishing the rules of society and the punishments for those who break them.,5.0,1.0,2017-12-23,,0
1025,Adventures in Paradise,,,,,,1962-01-01,1959-01-01,Adventure,,60.0,7261,Adventures in Paradise,,"'Adam Troy was an American Korean War veteran who stayed in the Pacific after the war. As captain of the schooner ''Tiki III'', Troy drifted from adventure to adventure while carrying passengers and cargo anywhere from Hong Kong to Pitcairn Island. His original partner was Chinese-American Oliver Lee, and he was assisted by first mates Clay Baker and later Chris Parker. ",,,1959-10-05,,1
3354,La mujer en el espejo,,,,,,2005-01-01,2004-01-01,"Drama,Mystery,Romance",,45.0,3286,,Brown Cardwell,,,,,guestStars,0
538,Double Trouble,,3.0,2.0,,,,1954-01-01,Drama,,30.0,4657,,William Link,,,,,writers,0
4827,In Search of Crimes Past,,17.0,3.0,,,,1995-01-01,"Crime,Drama,Mystery",,,6515,In Search of Crimes Past,,"'A 16-year-old murder case must be reopened when the daughter of the convicted killer holds Col. Barnfather hostage. Pembleton and Bayliss investigate an elderly man whose wife died of drowning in the bathtub. Gee and the newly appointed Capt. Russert clash over the handling of the hostage situation. Bolander, Munch, Howard and Felton must go to the archives to find the records of the case. Lewis meets a strange homeless man who's witnessed the suicide of a man who committed the original murder and the detectives race to overturn the previous conviction. A new ''''old'''' bartender tries to convince Munch to go with the latest rage, microbreweries. Bolander and Lewis try to connect the suicide victim to the man on death row.",17.0,3.0,1995-04-14,,1
1827,,Richard Frankel,,,,,,,,"producer,miscellaneous,manager",,4720,,Edward Herrmann,,,,,guestStars,0
1885,Past Tense,,11.0,1.0,,,,2004-01-01,"Action,Adventure,Animation",,22.0,4783,Past Tense,,"When Brock and Dr. Venture are kidnapped from the funeral of a college friend, the boys enlist the aid of the original Team Venture: a group of superscience adventurers who worked for their grandfather in the sixties. Meanwhile, the mysterious kidnapper reveals the secret of his twenty year old grudge through a series of flashbacks to when he, Brock, Doc, Baron Underbheit and Mr. White were all in college together.",11.0,1.0,2004-10-16,,1
5073,,Larry Pennell,,,2013-01-01,1928-01-01,,,,actor,,4910,,Larry Pennell,,,,,guestStars,1
4901,Alleen op de wereld,,,,,,2016-01-01,2016-01-01,"Adventure,Family",,10.0,2969,Who Goes There?,,"Hart and Cohle hunt for their newly identified suspect, Reggie Ledoux, a meth cooker who shared a cell with Dora Lange's husband and recently skipped parole. As Hart's personal life collapses around him, Cohle immerses himself in an old criminal identity from his narco days, contacting an East-Texas biker gang known to deal with their primary suspect. Cohle's undercover work takes him to a dangerous edge where the law has no place, and both men must confront the cost of living a false life.",4.0,1.0,2014-02-09,,0
