tableA_id,tableA_title,tableA_name,tableA_abstract,tableA_episodeNumber,tableA_seasonNumber,tableA_numberOfSeasons,tableA_numberOfEpisodes,tableA_birthDate,tableA_releaseDate,tableA_last_air_date,tableA_release_year,tableA_runtime,tableA_genre_list,tableA_origin_country,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
1649,Flatmates,,"After Freddie and Stuart have a falling out, Stuart moves in with Ash and Violet moves in with Freddie.",5.0,2.0,,,,2015-06-29,,2015-01-01,,,,1057,Farewell Planet Phantom,,"'On board the Argo, Derek, Nova and Sandor are unable to locate Flash and Jason, who are trapped in a tunnel on the planet. Suddenly, Flash and Jason meet the planet's life center, who asks them to take care of Queen Mariposa. Phantom says that Mariposa has the secret to the planet Guardiana and must be taken somewhere safe. Phantom then returns Flash, Jason and Mariposa to the planet's surface, where a rescue ship from the Argo picks them up. They describe their findings to Derek, who assigns Flash to be Mariposa's escort.After the Star Force leaves, they see Galmanian ships materialize. Mariposa says that the Galmans will attack Phantom. Flash warns Derek, who sends an urgent message to the Galmans asking them not to attack. The message is ignored, however, and the Galmans destroy Phantom. Derek asks Desslok why he ordered Phantom destroyed. Desslok says that he punished Phantom for embarrassing him and Derek by deceiving them.Having lost much time, the Star Force resumes its search for a new Earth. Meanwhile, Belmayze and Desslok learn that Mariposa is now on board the Argo and dispatch war fleets after the ship.111 days remain before the sun destroys Earth. ",22.0,3.0,1981-03-14,,0
681,,Dora Markova,,,,,,,,,,,,,2517,Black Maps and Motel Rooms,,"Ray, Ani and Paul take precautionary measures to elude detection and untangle a dark mystery. Frank deals with the fallout of his betrayal.",7.0,2.0,2015-08-02,,0
4828,The Haunted,,"Wealthy Vanessa Sutton Charles is plagued by mysterious apparitions of her dead husband. Strangely, the visitations occur on nights when Tahitians believe the dead come from the sea to haunt the living.",11.0,1.0,,,,1959-12-21,,1959-01-01,,,,6589,Episode 11,,"Jandi starts a part time job as a model on the cover of textbook, only to find out that she’s been deceived. In the dangerous moment, a mysterious man comes to the rescue of Jandi, and soon vanishes. The man turns out to be Jeha, a freshman at Shinhwa High School. Jandi and her purported fan, Jeha become friends. Unhappy with Jandi, who spends all her time working at her part-time job, Junpyo finally explodes at seeing Jandi on the magazine cover with model Haje. And Jandi finds the second “Red Card” in her locker.",11.0,1.0,2009-02-09,,0
5670,,Bryan Dick,,,,,,,,,,,,,5319,,Nat Benchley,,,,,guestStars,0
4400,The Survivor,,Larry and Cheryl prepare to renew their wedding vows; Larry mulls an offer from his dry cleaner.,9.0,4.0,,,,2004-03-07,,2004-01-01,,,,2540,The Survivor,,Larry and Cheryl prepare to renew their wedding vows; Larry mulls an offer from his dry cleaner.,9.0,4.0,2004-03-07,,1
1234,,Mayumi Shintani,,,,,,,,,,,,,7446,,Anil Gupta,,,,,writers,0
2264,,Carla Diaz,,,,,,,,,,,,,7187,,Emma Kidd,,,,,guestStars,0
2273,,Joe Ainsworth,,,,,,,,,,,,,1215,Der Kaiser von Schexing,,,,,2008-02-08,,0
791,,Gwen Arner,,,,,,,,,,,,,613,,Gwen Arner,,,,,director,1
2945,New Arrivals,,"Huw can walk again. Ifor and Bronwen are married. lanto devotes himself to union work, but can still watch with interest as Owen's affection for Marged Evans begins to fade.",2.0,1.0,,,,1976-01-05,,1976-01-01,,,,5054,I Am Monty,,Monty doesn't think he is similar to anyone else in his family and wonders whether everyone in a family should be alike.,27.0,1.0,2016-09-13,,0
