tableA_id,tableB_id
3,4378
5,20932
6,9015
7,1303
15,4282
15,17364
15,17810
19,17429
20,16837
25,6984
29,6031
30,11088
33,11683
34,3067
39,10872
41,6816
42,172
49,8096
53,17892
54,6572
56,21964
56,9164
57,13302
64,8391
65,11129
65,7156
66,3668
69,14641
78,12347
80,6526
81,17194
86,7610
86,11617
88,18980
88,3269
90,21917
91,17687
93,8350
94,9051
95,10966
97,15904
99,4520
101,2593
102,11759
107,12090
108,21709
108,12441
114,9223
120,14795
128,2701
128,10640
130,9890
131,5595
134,3740
136,2576
137,21120
138,11468
144,7970
145,15891
147,21192
148,16350
148,18936
148,16398
151,691
155,3446
157,16205
159,9709
159,5664
164,18937
172,1152
173,1249
178,19149
179,8545
181,12012
182,7399
184,2959
186,1928
191,1243
192,11131
194,6876
194,20939
199,5511
201,6828
205,10517
211,400
215,6601
217,5274
218,5046
219,8696
221,16624
222,1354
222,17534
225,12627
229,13258
231,10436
235,21783
239,10617
246,19031
246,13589
258,10646
261,5192
264,16640
266,2949
272,3965
276,15426
281,7824
284,2675
286,18626
294,19911
297,15653
302,16641
302,16807
303,19299
309,19291
310,4720
312,13299
313,8870
315,7705
317,1082
319,21483
322,9990
323,1244
324,8519
330,1599
334,10661
336,20174
337,6115
345,8386
346,8304
351,10048
356,21591
360,11566
360,19150
362,16307
370,15071
376,9389
378,21690
382,12582
387,3169
388,1450
395,99
396,17848
396,7144
396,7149
398,16514
399,713
413,284
415,17243
415,20385
424,8534
426,14868
428,6990
429,3273
431,18464
446,5774
447,13174
448,13173
452,16645
453,4892
453,10899
454,1891
455,19347
461,18389
463,11440
465,15278
465,7304
468,20645
469,2720
469,19257
470,10874
472,15367
475,12746
475,20392
476,2717
480,376
481,14853
483,9130
491,19957
496,4496
498,5577
500,12544
502,11435
503,10206
507,11953
512,9060
514,14881
518,2138
522,14014
523,3626
523,7630
527,485
528,21347
528,76
529,17879
530,6615
530,18531
531,19817
537,790
538,17174
539,11542
540,9383
541,9189
542,13159
544,13664
545,7622
545,7624
547,9295
548,3414
550,2555
550,19539
555,19009
558,5883
559,21310
559,20713
561,18152
563,18915
575,1128
575,5075
577,21736
577,19367
579,15015
584,965
585,14867
588,20108
589,16953
589,15495
591,5594
594,20843
595,14869
597,22043
598,3626
599,556
600,12881
600,4691
604,15829
611,8429
614,22045
615,17519
617,19540
625,18443
630,12817
632,13149
635,7145
636,9151
639,7371
639,10128
645,6760
648,4759
652,6708
652,7445
656,10558
658,21942
660,10273
662,17258
663,7135
669,12490
678,8962
680,843
681,20251
684,17573
687,20212
688,4783
692,18704
693,2611
693,104
694,20006
695,12569
699,4283
699,3856
705,16536
705,12895
707,8042
707,11829
709,1096
714,16478
715,7850
717,20106
719,6972
720,13398
722,12995
723,9675
725,16800
725,16277
734,5991
735,12273
737,6759
738,18197
739,11687
741,11537
742,8235
745,11810
752,7075
759,8381
765,15415
769,6362
770,11223
771,5517
781,17483
784,12733
784,21196
785,10845
788,14901
797,6508
801,13029
801,8931
803,4121
805,14294
810,11428
810,1480
811,453
816,11998
818,979
828,10887
829,8897
832,4597
832,19556
836,8739
838,715
841,7503
848,3153
848,602
853,6747
857,7347
861,11942
862,5782
864,11894
870,14930
871,20288
872,15268
874,5644
875,4226
887,12783
892,21096
893,11620
895,12463
898,7383
898,11343
898,15335
902,6661
903,16989
905,19636
906,3469
907,13994
908,13023
916,8910
917,17317
919,17371
920,3246
925,21757
926,4426
931,6451
932,2813
934,13148
935,14800
936,14004
938,15252
939,3615
941,2805
944,14177
949,7346
950,15942
955,4702
961,14317
973,21568
974,19753
975,13422
979,9553
983,18364
986,6669
991,12312
992,19592
996,2750
997,4379
999,4923
1007,11116
1007,18142
1009,780
1010,15003
1011,13413
1014,7028
1022,12116
1024,12674
1029,16791
1030,10555
1031,13438
1037,12168
1038,5010
1044,3009
1066,8297
1070,18620
1071,16126
1073,2522
1074,20740
1077,11884
1080,14454
1081,21587
1083,20644
1090,16634
1092,13747
1093,5462
1093,16869
1102,7853
1104,1397
1107,12700
1108,10672
1109,8091
1119,3471
1121,14109
1125,8267
1134,8789
1136,17383
1137,4429
1138,9085
1140,9097
1141,9253
1145,4787
1145,2867
1148,16756
1149,9481
1151,18330
1153,13245
1153,9237
1155,14873
1159,13109
1165,3695
1177,20811
1178,18153
1183,11288
1186,16092
1187,5479
1189,2759
1190,10706
1193,4493
1193,5592
1194,14916
1195,5364
1197,4814
1200,159
1207,6898
1208,18170
1208,16935
1208,3254
1209,9717
1209,14109
1210,1324
1217,5249
1218,5267
1224,8070
1229,5842
1230,4667
1233,12407
1233,18428
1236,7615
1237,6974
1242,2465
1244,10288
1246,17191
1246,21594
1248,16298
1252,9635
1256,20411
1262,12734
1263,22051
1266,4232
1268,4380
1280,17949
1280,7637
1282,1240
1286,16535
1287,15033
1291,17829
1292,18602
1295,6405
1298,8455
1299,15462
1299,14223
1301,6494
1305,2558
1311,14760
1315,21112
1315,15122
1315,7783
1316,4506
1317,20506
1320,884
1324,912
1325,10507
1334,8618
1338,17543
1340,8496
1345,14257
1345,20145
1349,4659
1349,12191
1353,6819
1355,559
1356,11269
1359,1903
1360,994
1362,17388
1365,18372
1367,12146
1370,5172
