tableA_id,tableB_id
0,10247
0,59995
0,16627
0,46550
1,63691
2,21187
4,4991
5,43727
5,41598
5,35628
5,12443
6,38997
7,58885
7,40754
8,16621
9,48916
9,35567
9,45049
9,51737
10,26207
10,16046
11,46616
11,60731
12,27639
13,53148
13,49869
15,3190
16,32260
17,37857
17,35922
17,44402
18,58016
18,41055
18,41395
18,40332
18,28404
19,19951
19,25978
19,2730
19,21223
19,34274
19,33793
19,48814
19,27684
19,47851
19,58009
19,56999
19,20501
19,11264
19,5072
19,19231
19,18752
20,14220
20,37223
21,38975
22,36546
22,40678
24,33260
24,43831
24,32476
24,44994
24,11163
24,31559
25,16350
26,18205
26,52175
26,49916
26,57207
26,53780
26,54864
27,60001
28,17772
29,23471
30,27497
30,62918
31,28931
31,47584
31,60744
32,3750
32,61220
33,55553
34,55216
35,736
36,51099
37,11908
37,16964
38,60342
39,9880
39,2563
39,5487
40,38927
40,43607
41,13005
41,2177
43,63635
44,42326
45,19262
46,9485
46,54596
47,12716
48,61164
49,50019
49,47981
49,45165
49,19397
49,34920
50,36942
51,6381
51,10872
53,45114
54,51448
54,50156
55,18657
56,3408
56,13782
56,19504
57,48058
57,20120
57,43577
57,10170
58,37918
58,39881
61,26465
61,29989
62,22640
63,47245
65,36513
65,36023
65,41516
66,52479
66,14340
66,7556
67,54803
67,20322
68,16374
69,7822
69,12154
69,8110
70,38838
71,37725
72,47348
72,37217
72,35045
72,13770
72,39335
72,39497
72,12227
72,32373
72,58713
72,8154
72,53620
72,5837
72,29386
72,46788
73,12959
74,51641
75,17864
75,25703
75,62801
77,59833
78,45743
79,51893
79,56170
79,48134
80,22948
80,25622
82,8561
82,3887
82,59840
82,61019
84,2868
85,21842
86,44630
86,20055
86,48634
87,2773
89,5948
89,55462
90,62171
90,43168
91,15971
91,23737
93,7274
93,3630
94,27593
95,22605
95,7781
95,7844
95,3210
95,63089
95,20258
95,50310
95,51361
95,9393
95,8868
95,27198
95,13903
95,17315
95,36651
95,1047
95,45920
95,25978
95,26863
95,17325
95,24387
97,13730
98,58349
98,49356
99,41263
99,46435
99,62996
99,60230
99,51471
99,55136
99,1097
101,44768
101,47765
101,9845
101,26672
101,21928
102,36988
102,52195
103,15568
104,57889
104,45850
105,53957
106,41695
106,42415
106,24811
107,37045
107,3179
107,29313
107,33199
107,41647
107,19496
107,12268
108,23226
108,23449
110,36491
111,6020
111,29191
112,18550
112,16346
112,13871
113,16964
114,39088
116,42297
116,34199
117,60637
118,63910
119,30824
119,23195
120,45055
121,17433
123,13593
123,1829
124,10483
124,7424
125,16604
125,32403
126,29469
126,60281
127,22178
128,24343
129,29113
129,36727
130,56580
130,9413
131,11758
131,32384
132,58160
132,41821
132,28758
132,46004
133,59686
134,5114
135,57347
135,60820
135,52470
136,9299
136,25415
136,16083
136,20254
137,24673
138,50114
138,59253
139,41345
139,46128
140,58484
141,14825
142,372
143,24182
143,28064
144,4143
144,20704
146,36351
147,17682
147,13221
148,38562
149,60267
150,44670
151,40350
151,33230
154,29920
156,61429
157,16264
157,20275
158,62562
158,50680
160,29067
160,28791
161,22806
162,9765
163,12570
164,27764
164,60577
164,62770
164,1800
164,55087
166,45476
166,35047
166,52163
168,32180
168,37110
168,41823
168,50935
170,35935
170,61536
170,15532
171,60990
171,1241
171,55681
171,57248
171,51403
171,49002
172,32213
173,45439
174,32237
175,22137
177,31773
178,23243
178,29784
178,4298
178,23036
179,40414
180,1692
181,63305
182,37919
183,60499
184,49763
184,26884
184,59823
185,50977
187,45743
188,19241
190,17458
191,40936
192,13744
193,26609
195,18730
196,46744
197,55673
198,61696
198,44003
199,48998
200,46954
201,5335
202,6703
203,12466
203,9786
203,3526
204,8178
206,17683
207,6853
208,20043
209,35962
209,7518
210,33696
210,5032
211,39931
211,58881
211,47337
212,202
212,42916
212,63200
213,11090
214,61497
216,14534
217,61579
218,9658
219,45743
221,5555
221,24279
221,1129
221,38412
223,27368
224,59265
225,55769
225,32718
226,11556
226,7934
227,61239
227,40509
227,60537
227,36901
227,54521
228,49923
229,58948
229,51552
229,62377
230,30507
230,18655
231,4140
231,819
232,14393
233,9053
234,47739
235,51626
236,54263
236,38660
237,3615
237,20458
238,48938
238,44328
238,40913
238,40935
239,52795
240,63577
241,45056
243,4529
243,13102
243,9097
243,21639
245,38218
246,10560
246,23500
247,25
248,5152
249,13127
250,191
251,53359
251,11640
251,51929
253,25637
254,28465
254,3284
254,32386
256,859
256,4794
256,816
256,11663
256,3091
256,34093
256,63784
256,8734
257,22575
258,18619
258,29415
258,25094
259,1249
259,3744
259,7033
260,50530
261,57247
262,42585
263,2657
264,38561
265,30002
266,32065
266,31582
266,38638
266,8719
268,26881
269,18800
269,58907
269,24369
271,16957
271,18398
272,2219
273,10788
274,13907
275,22760
276,5494
277,32041
279,11308
279,56201
280,32114
280,36053
280,23081
281,38045
282,22952
282,20396
282,47083
282,31052
283,13398
283,6868
285,15320
285,12989
286,56526
287,62296
287,53580
288,20657
288,538
288,6551
288,58317
289,63901
289,53508
290,38275
290,54001
