tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
169,Enterprise Information Architectures -- They're Finally Changing,Wesley P. Melling,SIGMOD Conference,1994,25786,"Profiles of Organizational Influence Strategies (POIS). Form S, C, M","D Kipnis, SM Schmidt",1982,,0
1170,DB2 Query Parallelism: Staging and Implementation,Yun Wang,VLDB,1995,20052,Ditching the commute,K Girard,"Computerworld,",,0
240,"NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform","Matthias Gro?mann, Thomas Schwarz, Daniela Nicklas",VLDB,2003,49228,Metal-Ligand Interactions in Organic Chemistry and Biochemistry,"W SAENGER, H BRAND, F VOGTLE, E WEBER",1977,,0
2427,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"Thomas Tesch, Peter Muth, Wolfgang Klas, Marek Rusinkiewicz, J?rgen W?sch",VLDB,1995,10015,Towards a cooperative activity model-the coopertive activity model,"M Rusinkiewicz, W Klas, T Tesch, J Wasch, P Muth","Proceedings of the 21st International Conference on Very  &hellip;,",,1
2180,The Zero Latency Enterprise,Dave Liles,VLDB,2000,30369,Wal-Mart Revises??? 05 RFID Expectations,C Sliwa,"Computerworld,",,0
1250,Implementing Deductive Databases by Mixed Integer Programming,"Anil Nerode, Colin Bell, Raymond T. Ng, V. S. Subrahmanian",ACM Trans. Database Syst.,1996,5069,Implementing deductive databases by mixed integer programming,"C Bell, A Nerode, RT Ng, VS Subrahmanian","ACM Transactions on Database Systems,",1996.0,1
2381,"Research and Practice in Federated Information Systems, Report of the EFIS '2000 International Workshop","Ralf-Detlef Kutsche, Geert-Jan Houben, Mark Roantree, Bodo Rieger, Wilhelm Hasselbring, Kazimierz Subieta, Willem-Jan van den Heuvel",SIGMOD Record,2000,14855,Research and Practice in Federated Information Systems,"MR II, GJ Houben, RD Kutsche, K Subieta, B Rieger","SIGMOD Record,",2000.0,1
511,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,"Bertram Lud?scher, Maryann E. Martone, Amarnath Gupta",SIGMOD Conference,2003,28829,Transparency and awareness in a real-time groupware system,"M Beaudouin-Lafon, A Karsenty","Proceedings of the 5th annual ACM symposium on User  &hellip;,",1992.0,0
226,Extended Wavelets for Multiple Measures,"Antonios Deligiannakis, Nick Roussopoulos",SIGMOD Conference,2003,3395,Cyclic nucleotides as modulators of leukocyte chemotaxis,HR Hill,"See Ref,",,0
2230,DeeDS Towards a Distributed and Active Real-Time Database System,"Joakim Eriksson, Jonas Mellin, Sten Andler, Mikael Berndtsson, Bengt Eftring, J?rgen Hansson",SIGMOD Record,1996,36355,Kravspecifikation f?¶r DARWIN,S El Leverat?¶rer,1998,,0
